@relation ionosphere

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute class {0, 1}

@data
0.997695, 0.470555, 0.926215, 0.51153, 0.91699, 0.31146, 1.0, 0.5188, 0.926215, 0.411225, 0.798775, 0.275275, 0.80268, 0.308885, 0.92178, 0.30729, 0.79106, 0.33904, 0.784855, 0.35163, 0.68473, 0.263215, 0.784055, 0.244145, 0.70539, 0.26916, 0.60633, 0.32955, 0.711335, 0.227565, 0.593205, 0.2735, 0
1.0, 0.405855, 0.965175, 0.31922, 0.44566, 0.032015, 1.0, 0.477255, 0.75437, 0.161285, 0.67216, 0.151465, 0.241575, 0.012425, 0.527495, 0.188815, 0.665545, 0.0, 0.434245, 0.2735, 0.40972, 0.32133, 0.39834, 0.367155, 0.39766, 0.407995, 0.4048, 0.442035, 0.41687, 0.46856, 0.43131, 0.487765, 1
1.0, 0.483175, 1.0, 0.502425, 1.0, 0.43969, 0.944825, 0.50599, 0.86541, 0.52673, 0.927215, 0.504135, 0.772955, 0.501495, 0.918875, 0.43178, 0.877675, 0.4573, 0.854435, 0.36249, 0.716925, 0.43969, 0.78764, 0.2989, 0.79492, 0.389275, 0.7155, 0.413175, 0.80218, 0.3791, 0.780225, 0.30881, 0
1.0, 0.274195, 1.0, 1.0, 0.85608, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.57258, 0.77047, 0.30335, 0.0, 0.227665, 0.150125, 1.0, 0.5, 0.5, 1.0, 0.953475, 0.758065, 1.0, 1.0, 0.399505, 0.62841, 1.0, 0.33809, 1.0, 1
1.0, 0.487995, 0.9707, 0.532655, 0.96053, 0.383725, 0.88576, 0.418005, 0.76399, 0.398625, 0.782045, 0.49644, 0.671975, 0.362715, 0.7647, 0.3911, 0.725535, 0.410935, 0.52991, 0.322125, 0.511545, 0.235605, 0.51643, 0.17421, 0.56645, 0.23397, 0.512155, 0.189015, 0.471465, 0.202135, 0.47696, 0.171515, 0
0.511685, 0.49704, 0.45038, 0.440255, 0.496185, 0.44088, 0.57353, 0.533185, 0.51893, 0.46849, 0.5, 0.5, 0.47714, 0.4223, 0.498285, 0.44902, 0.442125, 0.47293, 0.50919, 0.518345, 0.507595, 0.50444, 0.517565, 0.492325, 0.4838, 0.546115, 0.460705, 0.50366, 0.5, 0.5, 0.499805, 0.560055, 1
0.98794, 0.44699, 0.973005, 0.396, 0.96403, 0.35825, 0.92998, 0.36329, 0.89883, 0.260355, 0.891125, 0.24618, 0.87314, 0.19282, 0.789725, 0.15957, 0.68926, 0.131795, 0.68162, 0.11719, 0.65949, 0.101235, 0.61396, 0.09183, 0.568295, 0.08745, 0.52303, 0.088025, 0.47869, 0.09341, 0.43084, 0.095125, 0
0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 1
0.981775, 0.46401, 1.0, 0.428335, 1.0, 0.393435, 1.0, 0.31913, 0.96285, 0.282155, 0.97255, 0.29666, 0.95196, 0.268095, 0.991525, 0.323715, 0.922685, 0.1699, 0.87673, 0.197055, 0.848185, 0.178875, 0.92553, 0.1728, 0.787885, 0.15144, 0.627175, 0.180405, 0.72557, 0.136105, 0.694475, 0.1329, 0
0.49068, 0.457705, 0.5, 0.5, 0.5, 0.5, 0.55735, 0.36595, 0.271685, 0.30914, 0.5, 0.5, 0.33172, 0.69301, 0.314335, 0.57509, 0.81864, 0.610575, 0.5, 0.5, 0.5, 0.5, 0.425985, 0.49337, 0.603225, 0.48853, 0.5, 0.5, 0.582975, 0.62043, 0.45896, 0.690325, 1
1.0, 0.533275, 1.0, 0.40806, 1.0, 0.3634, 1.0, 0.284465, 1.0, 0.293255, 0.98116, 0.24063, 0.953555, 0.204915, 0.94615, 0.16763, 0.84938, 0.145015, 0.853225, 0.1184, 0.815405, 0.09728, 0.779335, 0.05436, 0.736055, 0.0675, 0.701515, 0.081625, 0.65498, 0.054535, 0.614975, 0.05421, 0
1.0, 0.22895, 1.0, 0.0, 1.0, 0.0, 1.0, 0.681085, 1.0, 0.294405, 1.0, 1.0, 1.0, 0.0, 1.0, 0.35323, 1.0, 0.032005, 1.0, 1.0, 1.0, 1.0, 1.0, 0.29556, 1.0, 0.186275, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1
