@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute class {0, 1, 2, 4, 5, 8}

@data
0.89646, -0.0145133, 0.549697, -0.00195451, 0.0841786, 0.34414, -0.00584382, 0.951645, 0.467879, -0.00217769, 0
0.00231321, 0.878067, 0.21693, 0.843411, 0.00601278, 0.808984, -0.00302478, 0.779265, -0.00316746, 0.797904, 0
0.370715, 0.0037899, 0.0135355, 0.00130353, 0.560903, 0.756421, 0.608511, 0.0212322, 0.00640391, 0.909958, 0
0.509274, 0.00777937, 0.416666, -0.00548536, 0.231358, 0.952853, 0.277023, 0.00706791, 0.137691, -0.0174361, 0
0.00436922, 0.4954, 0.323073, 0.500783, -0.00103773, 0.647913, 0.757784, -0.00010438, 0.00117004, 0.965804, 0
0.0103649, 0.516114, -0.00703716, 9.58276e-05, 0.613606, 0.856167, 0.00500906, 0.410115, 0.00916042, 0.895672, 0
-0.00484737, 0.896448, 0.869582, 0.0125471, 0.0227581, 0.957839, 0.631365, -0.00656765, 0.941484, -0.0100735, 0
0.0124534, -0.00448553, 0.0106611, 0.469531, 0.0612967, 0.452403, -0.0105473, 0.558779, 0.863604, 0.000452952, 0
0.0949488, -0.0350452, 0.184889, 0.80886, 0.00288161, 0.474394, 0.00404343, 0.0793053, 0.926059, -0.00182295, 0
-0.00194791, 0.60037, 0.043259, 0.916545, 0.554231, 0.00140729, 0.00796546, 0.211163, 0.0101587, 0.431224, 0
0.404663, -0.00282069, 0.18759, 0.271417, -0.00420437, 0.578098, 0.00857744, 0.771918, -0.000619206, 0.318801, 0
-0.00708825, 0.843197, 0.608367, 0.00461353, 0.0952158, 0.741679, 0.00660719, 0.654274, 0.0135825, 0.776804, 0
-0.00293426, 0.865189, -0.0284016, 0.11106, 0.0152254, 0.644531, -0.0109556, 0.949573, -0.00254659, 0.00516111, 0
0.0442477, 0.00621866, 0.0846857, 0.00535673, 0.546243, 0.924815, 0.00592055, 0.697175, -0.00227527, 0.671058, 0
0.517139, -0.0116766, 0.563431, 0.280663, 0.808093, -0.0187039, 0.0115664, 0.253398, 0.296798, 0.00809004, 0
0.287272, 0.00277129, 0.127716, -0.011342, 0.398466, 0.768805, -0.0244223, 0.98634, 0.00358978, 0.321251, 0
0.0178968, 0.934754, 0.924915, 0.00547986, 0.00559795, 0.611116, -0.0134472, 0.547809, -0.00451587, 0.0605001, 0
-0.00017863, 0.480496, 0.426501, -0.00254701, 0.682614, 0.950662, 0.0348815, -0.004948, 0.106315, -0.0117552, 0
0.00162811, 0.683609, 0.987408, 0.276714, 0.596432, -0.0121873, 0.845233, -0.00310355, 0.92878, -0.000113215, 0
0.252629, 0.00695727, 0.0198269, 0.0679372, 0.166072, 0.917519, -0.00845034, 0.331867, 0.369131, 0.00183627, 0
0.386952, -0.00600182, 0.0219534, 0.966025, 0.618027, 0.392768, 0.0140348, 0.186892, 0.0968886, -0.00738164, 0
0.161313, -0.003803, 0.00817905, 0.164594, 0.0980361, 0.739758, 0.00344778, 0.74216, 0.656924, -0.00613486, 0
0.00737936, 0.113036, 0.00280912, 0.640643, 0.277385, 0.483959, 0.467017, -0.00299037, 0.0201651, 0.014201, 0
0.286708, -0.000666718, 0.506949, 0.0848536, 0.126385, -0.000989215, 0.2037, -0.00508333, 0.555553, 0.00234649, 0
-0.008339, 0.916652, 0.245249, 0.749965, -0.00470422, 0.888593, 0.0529714, 0.00329274, 0.0408527, -0.0185566, 0
0.361501, -0.0166804, -0.00918975, 0.235172, 0.653005, 0.0476468, 0.0837586, -0.0167218, -0.000523515, 0.926695, 0
0.00840906, 0.399121, 0.146138, 0.38349, -0.00807543, 0.14469, 0.396074, -0.000969143, 0.866542, -0.00570035, 0
0.464231, -0.0139152, 0.867077, 0.00437909, 0.164781, 0.16608, -0.0152172, 0.586822, 0.0030396, 0.154035, 0
-0.0083937, 0.106627, 0.895824, 0.0123965, 0.293145, 0.788269, -0.0105338, 0.365882, 0.446873, -0.0153678, 0
-0.00704195, 0.654383, 0.454573, 0.00336701, 0.298039, 0.737121, 0.140132, -0.00540086, 0.0141866, 0.335538, 0
0.98735, 0.018048, 0.00975752, 0.219385, 0.803467, 0.0320948, -0.010851, 0.320269, -0.0028183, 0.99885, 0
0.523349, -0.0154189, 0.893798, 0.0763251, 0.087222, -0.0019171, 0.00337845, 0.440155, 0.0845017, 0.0218058, 0
-0.00835911, 0.302654, 0.674551, -0.0100107, 0.693024, 0.803165, 0.369647, 0.00579738, -0.00268036, 0.66239, 0
0.906421, 0.00640915, 0.895991, 0.774408, 0.00745454, 0.0926861, -0.00258864, 0.320808, 0.562303, 0.00816478, 0
0.00749831, 0.416678, 0.701019, 0.00340012, 0.678319, 0.48475, 0.505708, -0.00106438, -0.0110014, 0.0681289, 0
0.0558465, -0.00714265, 0.687936, 0.00587411, 0.450088, 0.383063, -0.0157944, 0.757078, 0.000459184, 0.371474, 0
0.500498, -0.000380668, 0.583491, 0.60031, 0.0019151, 0.681182, 0.201928, -0.00256555, 0.00182167, 0.528849, 0
0.00550309, -0.00846822, -0.0165109, 0.659992, 0.533591, 0.257476, 0.878168, -0.00517895, 0.133596, -0.00404054, 0
0.708689, 0.0169198, 0.784055, 0.000550004, 0.683284, 0.317734, -0.0140166, 0.237109, -0.0126004, 0.691315, 0
0.591991, -0.0181865, 0.512628, 0.403184, 0.00357108, 0.00454361, 0.00827165, 0.520017, 0.870469, -0.0149622, 0
