@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute class {0, 1, 2, 4}

@data
-0.00602447, 0.335073, 0.138736, 0.94138, 0.3071, 0.315338, -0.0135921, 0.0161659, 0.724066, 0.0640487, 0
0.119538, 0.340951, 0.24909, 0.018023, 0.843559, 0.554325, -0.00432549, 0.63534, 0.0109631, 0.519428, 0
0.644324, 0.554892, 0.865007, 0.00812901, 0.00794602, -0.00826775, 0.156915, 0.300466, 0.00123829, 0.041291, 0
0.336845, 0.272177, 0.00519784, 0.742529, 0.697911, 0.000535311, 0.3333, 0.259096, -0.00331463, 0.371161, 0
0.435745, 0.69178, 0.648908, 0.327107, -0.00285674, 0.609974, -0.0174231, 0.840319, 0.00242594, 0.27735, 0
0.527549, 0.903509, 0.942146, 0.00341697, 0.889575, 0.00469746, 0.20216, 0.181393, 0.290683, -0.0213646, 0
0.00543878, 0.785093, 0.493159, 0.224976, 0.964671, 0.933452, -0.000549711, 0.529529, 0.851201, 0.000570789, 0
0.633996, 0.706446, 0.147114, 0.0133966, 0.590436, 0.65136, 0.00425267, -0.0121085, 0.880098, 0.525016, 0
0.330218, 0.669148, 0.000949081, 0.783551, 0.803762, 0.0288611, 0.800814, 0.542917, 0.913995, -0.00551183, 0
0.287657, 0.898845, 0.759085, -0.00988767, 0.256421, 0.00326648, 0.921869, 0.00877584, 0.219827, 0.338508, 0
0.843497, 0.00625259, 0.408588, 0.933016, 0.62717, -0.00710099, 0.593856, 0.00185857, 0.882818, 0.0398364, 0
0.570404, 0.00514232, 0.815761, 0.855443, 0.487725, 0.000735746, 0.64605, 0.259705, 0.760819, 0.00276373, 0
0.748837, 0.305784, 0.652513, -0.0142249, 0.183944, 0.893802, -0.0123307, 0.367483, 0.0650081, 0.0161776, 0
0.656897, 0.89917, 0.607778, 0.00326171, 0.8083, 0.526087, 0.00662775, 0.0114783, 0.467615, 0.883236, 0
0.715583, 0.00363241, 0.216699, 0.468759, 0.156613, 0.879002, -0.00809121, 0.186603, 0.0517313, -0.00772565, 0
0.837513, 0.379279, 0.632313, 0.399371, 0.0149185, -0.00514154, 0.585939, 0.442141, -0.00807032, 0.750992, 0
0.34186, 0.0285093, -0.0146008, 0.67933, 0.833803, 0.894483, 0.00419332, 0.0133826, 0.639244, 0.347232, 0
0.831314, 0.117111, 0.000819098, 0.870857, 0.1009, -0.00664476, 0.960312, 0.00392383, 0.0391928, 0.00442213, 0
0.361363, 0.047356, 0.117093, 0.00215917, 0.728206, 0.774195, 0.00540786, 0.720482, 0.00496784, 0.121604, 0
0.114204, 0.00512495, 0.662454, 0.370021, 0.286589, 0.00496467, 0.81699, 0.0920129, -0.016938, 0.833069, 0
0.202751, 0.000879127, 0.380265, 0.220741, 0.762972, 0.556234, 0.00448891, 0.000832085, 0.534174, 0.401451, 0
-0.00462789, 0.804406, 0.694048, 0.141323, 0.642462, -0.00151482, 0.614285, -0.000284992, 0.205303, 0.472386, 0
0.957015, 0.418971, 0.00231896, 0.865137, 0.208313, 0.349066, 0.0067295, 0.00403765, 0.30798, 0.556639, 0
0.00101907, 0.415737, 0.426089, 0.802116, 0.368518, -0.0138342, 0.970954, 0.773935, -0.000858534, 0.343876, 0
0.635538, -0.00630149, 0.127408, 0.528361, 0.647985, 0.0438912, 0.0273729, 0.195688, 0.366914, 0.00644685, 0
0.0780753, 0.723848, -0.017061, 0.438814, 0.285334, -0.021038, 0.748616, -0.00274606, 0.200392, 0.0787531, 0
0.568604, 0.819766, 0.00859845, 0.558679, 0.159532, 0.615429, 0.017374, 0.572296, 0.00238803, 0.472386, 0
0.499493, 0.790544, 0.727893, 0.00865722, 0.641297, 0.274747, -0.00928909, 0.00210653, 0.19447, 0.365977, 0
0.152012, 0.351578, 0.469886, 0.961883, 0.00449132, 0.438199, 0.00346145, 0.457779, 0.902983, -0.0149396, 0
0.462422, 0.379699, -0.00352573, 0.539959, 0.826851, -0.00132601, 0.299985, 0.206747, 0.0147336, 0.572448, 0
0.757136, -0.0065114, 0.437819, 0.690199, 0.741023, 0.645972, 0.00956331, -0.0166433, 0.880595, 0.780276, 0
0.593285, -0.00203507, 0.87677, 0.494149, 0.846608, 0.00959668, 0.994918, 0.939955, 0.674121, 0.0124922, 0
0.586673, 0.608543, 0.00616896, 0.617435, 0.655145, 0.0134713, 0.933751, -0.0143853, 0.989684, 0.35866, 0
-0.0112777, 0.571837, 0.882394, 0.428195, 0.679619, -0.00753648, 0.323119, 0.426831, 0.00707414, 0.557191, 0
0.113914, 0.150825, -0.00879296, 0.290284, 0.381106, 0.0212613, 0.012643, -0.00382574, 0.422029, 0.839769, 0
0.6745, 0.3579, -0.0155869, 0.927033, 0.61805, 0.0110255, 0.732684, 0.495701, -0.00663076, 0.211993, 0
-0.00261894, 0.18555, 0.179502, 0.0157984, 0.680162, 0.518867, 0.00010282, 0.732286, -0.00394369, 0.550523, 0
-0.00867855, 0.0322869, 0.963157, 0.999519, 0.974303, -0.0150337, 0.609721, 0.499839, -0.00879334, 0.473294, 0
0.00390613, 0.941943, 0.171254, 0.69841, 0.00739996, 0.00155933, 0.152922, 0.947147, -0.00385193, 0.90062, 0
0.255522, 0.0129868, 0.271337, 0.746227, 0.56018, 0.590231, 0.00453493, 0.453234, 0.256407, 0.0118113, 0
0.51499, 0.93597, 0.507986, 0.62146, -0.00591773, 0.00870676, 0.00202185, -0.012687, 0.545863, 0.791332, 0
0.817662, 0.0691341, 0.578036, 0.955314, -0.00155276, 0.00129717, 0.00721759, 0.00299124, 0.854987, 0.687857, 0
0.168503, 0.703292, 0.0176307, 0.471203, 0.358752, 0.520313, -0.00384233, 0.812008, 0.881714, -0.00140956, 0
0.793537, 0.415555, 0.00491755, 0.810274, 0.981572, 0.526708, -0.00241176, 0.246028, 0.0454438, 0.00299757, 0
0.901801, 0.850182, -0.0049718, 0.178796, 0.542432, 0.00867015, 0.542743, 0.00585597, 0.959973, 0.710911, 0
0.218412, -0.00670731, 0.25667, 0.18141, 0.137103, 0.118214, -0.00449187, 0.798305, 0.0172553, 0.502492, 0
0.0264207, 0.434513, 0.00200214, 0.287356, 0.0304326, -0.0172067, 0.47472, 0.812394, 0.926908, 0.000736546, 0
0.540576, 0.00969831, 0.0123628, 0.0608102, 0.644413, -0.00534351, 0.893869, 0.30059, 0.00472403, 0.210587, 0
0.384387, 0.00148565, 0.112017, 0.899131, 0.880271, 0.00853017, 0.307757, 0.000881528, 0.872214, 0.817115, 0
0.633356, -0.00720823, 0.950141, 0.891014, 0.345518, -0.00485232, 0.967366, 0.783086, 0.00278442, 0.273792, 0
-0.0260688, 0.857115, 0.35204, 0.706918, 0.474725, 0.399998, -0.00463954, 0.493577, 0.682937, 0.00982383, 0
0.687307, 0.00225664, 0.882774, 0.434918, 0.842315, 0.19027, -0.000109984, 0.193621, 0.563315, -0.0033663, 0
-0.00577204, 0.703021, 0.485391, 0.397007, 0.31917, 0.750228, -0.00077086, -0.000325863, 0.793984, 0.248691, 0
-0.00393088, 0.237965, 0.390538, 0.860104, 0.193882, 0.008898, 0.236002, 0.143144, -0.00414768, 0.144171, 0
0.0262806, 0.722364, 0.886128, 0.913406, -0.00647297, 0.015879, 0.419566, 0.279354, -0.0176629, 0.383711, 0
0.381464, 0.0324557, 0.237945, 0.00965741, 0.692627, 0.0194165, 0.580944, 0.994156, 0.596252, 0.0117709, 0
0.626694, 0.892949, -0.00541025, 0.575164, 0.723467, -0.00527549, 0.0162873, 0.0212794, -0.0123134, 0.110308, 0
0.0105777, 0.450118, 0.437691, 0.448814, 0.00482205, 0.000985722, 0.0585407, 0.0903883, -0.00395682, 0.106721, 0
0.73318, 0.664729, 0.679225, 0.495335, 0.00229213, 0.954281, -0.00671175, 0.331139, 0.0155458, 0.122223, 0
0.00982251, 0.117486, -0.000828536, 0.421618, 0.36721, -0.00309631, 0.91071, 0.00868357, 0.00146458, 0.307086, 0
0.122854, 0.233935, -0.00374067, 0.513362, 0.582043, 0.218791, -0.00230727, 0.664538, 0.218826, -0.0125672, 0
0.459729, 0.561941, 0.00523711, 0.776427, 0.231649, 0.00803202, 0.369392, 0.745995, 0.007079, 0.746189, 0
0.0484667, -0.000760208, 0.584813, 0.212599, 0.482107, 0.297968, 0.0016797, 0.98078, 0.285096, -0.00303963, 0
