@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute class {0, 1, 2, 4, 8, 16}

@data
0.000862022, 0.596349, 0.99953, 0.354787, -0.0110583, 0.334954, 0.695168, 0.16397, 0.615067, -0.0114839, 0.397965, 0.120832, 0.7362, 0.589307, 0.14638, -0.00652321, 0.787987, 0.0458786, 0.558111, 0.0124685, 0
0.00487751, 0.722222, 0.143372, 0.813671, 0.012147, 0.145997, -0.00505051, 0.20479, 0.271482, 0.579577, 0.00294156, 0.55078, 0.666599, 0.681352, 0.407589, 0.682121, 0.792722, -0.00755197, 0.0130833, 0.466938, 0
0.379102, -0.0164292, 0.476638, 0.0446519, 0.744803, 0.612195, 0.0058506, 0.354585, 0.501683, 0.00247, 0.807948, 0.828034, 0.550745, 0.242702, 0.107168, 0.0123501, 0.732991, 0.0993142, 0.00674156, 0.104928, 0
0.243786, 0.773372, 0.0345167, 0.736631, 0.984462, 0.665628, -0.00323485, 0.562649, 0.412723, 0.012205, 0.415712, 0.916261, 0.625187, -0.00273671, 0.421856, 0.331907, 0.208673, 0.76754, -0.00337994, 0.788918, 0
0.948926, 0.813804, -0.00257411, 0.0341499, 0.375995, 0.765912, 0.174116, -0.0157649, 0.0931456, 0.735901, 0.217052, -0.00660243, 0.986398, 0.494764, 0.429541, 0.0408323, 0.848192, -0.000529736, 0.763298, -0.00577512, 0
0.659024, 0.887516, 0.00208629, -0.0126005, 0.709283, 0.656116, 0.599718, 0.897819, 0.573287, 0.133421, 0.489551, 0.815068, -0.00484652, 0.788537, 0.0205599, 0.912836, 0.645966, 0.924262, 0.164445, 0.00768417, 0
0.354352, 0.00581784, 0.185833, 0.113331, 0.162118, 0.944666, 0.416529, -0.0159392, 0.0889764, 0.794357, 0.144589, 0.886683, 0.000133704, 0.976457, 0.385729, 0.9065, -0.00332971, 0.460469, 0.0719772, -0.0173073, 0
0.18339, -0.00541344, 0.00932796, -0.0108525, 0.592728, 0.530282, 0.808511, 0.455924, 0.376073, 0.453582, 0.717166, 0.894364, -0.000493303, 0.979865, 0.0062862, 0.224124, 0.0793844, 0.305161, 0.58234, -0.00159323, 0
0.785448, 0.327432, 0.00818033, 0.447955, 0.00314312, 0.246385, 0.486445, 0.0276192, 0.244378, 0.577387, 0.12685, 0.0725571, -0.000689436, 0.880202, 0.100516, -0.00618233, 0.103417, 0.0226211, 0.662796, 0.0115345, 0
-0.000832786, 0.573732, 0.384538, 0.00292958, 0.692788, 0.364121, 0.00885143, 0.890846, 0.000214261, 0.47544, 0.36586, 0.0977241, 0.945785, 0.792429, 0.90254, 0.0252465, 0.0141413, 0.420602, 0.0340657, 0.024734, 0
0.0112938, 0.131069, 0.520209, 0.0185617, 0.389115, 0.00965997, 0.10215, 0.844487, 0.00536477, 0.8473, 0.779413, 0.0102475, 0.449066, 0.38414, 0.653401, 0.00933429, 0.787046, 0.208715, -0.0087825, 0.311169, 0
0.239072, 0.235869, -0.00798041, 0.0123726, 0.00113109, 0.650466, 0.263312, 0.558004, 0.356236, 0.0306055, 0.0283817, 0.440172, 0.00291459, 0.79131, 0.935331, 0.594598, -0.00610524, 0.190885, 0.0730888, 0.00388021, 0
0.00209669, 0.373465, 0.352257, 0.00297386, 0.359912, 0.400027, 0.469331, 0.92306, 0.00443245, 0.851551, 0.00771446, 0.662153, 0.775071, 0.0775697, 0.36381, 0.669255, 0.802181, 0.00921651, -0.0195336, 0.76741, 0
0.223835, -0.00898812, 0.218537, -0.00594508, 0.191333, 0.649957, 0.296811, 0.511046, 0.114557, 0.10287, 0.628336, 0.188566, -0.00442721, 0.861667, 0.420545, 0.0050476, 0.428862, 0.512317, 0.00574086, 0.457906, 0
0.914983, 0.00730878, 0.436104, 0.92692, 0.686812, 0.00678145, 0.398181, 0.0541111, 0.892638, 0.828107, 0.241108, -0.0110201, 0.606064, 0.119229, 0.242331, 0.0988557, 0.992657, -0.0121242, -0.00324863, 0.995214, 0
0.00618596, 0.958248, 0.00585419, 0.563877, 0.590703, 0.0146482, 0.636264, 0.859514, 0.612922, 0.0133575, 0.224544, 0.559642, 0.0071705, 0.571084, 0.674752, 0.481769, 0.978274, 0.00654197, -0.00822133, 0.291901, 0
0.492459, 0.582399, 0.0026504, 0.311754, -0.0119184, 0.20753, 0.0847177, 0.465587, 0.521562, 0.983857, 0.537903, 0.0100094, 0.293582, 0.605377, 0.000261118, 0.678916, 0.404578, 0.412067, 0.000393752, 0.647564, 0
0.000245301, 0.865235, 0.96869, 0.274409, 0.557904, 0.197284, 0.7365, -0.0138615, 0.485584, 0.823474, -0.00908755, 0.940647, 0.385968, 0.843745, 0.0214744, 0.776053, 0.354583, 0.226127, 0.366123, -0.00800993, 0
0.346551, 0.000161593, 0.389112, 0.394015, 0.357447, 0.924121, 0.180811, 0.0185524, 0.865769, -0.000639251, 0.418371, 0.381408, 0.626978, -0.002625, 0.266571, 0.855628, 0.48332, 0.478961, 0.00216696, 0.460383, 0
0.934264, 0.585326, 0.00796671, 0.644252, 0.00554936, 0.0206013, 0.666457, 0.451754, -0.00672447, 0.875085, 0.838412, 0.462749, 0.173742, 0.372369, 0.655073, 0.837652, 0.510211, 0.00884552, 0.286905, -0.00623171, 0
0.7027, -0.0215761, 0.96198, 0.000685103, 0.85267, 0.494204, 0.745879, 0.357102, 0.525495, 0.963379, 0.681086, 0.0132122, 0.122846, 0.0087911, 0.668183, 0.374874, 0.78337, 0.626333, 0.576985, 0.0179828, 0
0.33307, 0.304053, 0.00514205, 0.872783, 0.00262079, 0.916991, 0.413245, 0.169869, 0.460799, 0.818019, 0.745748, 0.981049, 0.00425325, 0.230199, 0.459438, 0.0351824, -0.00914949, 0.470229, 0.339363, -0.0108636, 0
0.0131405, 0.916429, -0.0164742, 0.00854746, 0.0510211, 0.538134, 0.39268, 0.214789, -0.000502648, 0.13823, 0.199425, 0.0445883, 0.613795, 0.610997, 0.384505, 0.00387333, 0.574053, 0.270033, -0.00391962, 0.415033, 0
0.274097, 0.00770358, 0.787273, 0.0639521, -0.00715131, 0.657055, 0.480589, 0.239915, 0.575003, 0.678441, 0.0510838, 0.598436, -0.0225155, 0.485366, 0.00960264, 0.811072, 0.401857, 0.84475, 0.00309422, 0.250594, 0
0.494889, -0.00163737, 0.288073, 0.365644, 0.319851, -0.0186642, 0.660239, 0.790467, -0.00216422, 0.785899, 0.723111, 0.567745, 0.440176, 0.73978, 0.793378, 0.900791, 0.978461, 0.00679106, 0.0138071, 0.430028, 0
0.768434, -0.00272748, 0.908139, 0.621848, 0.012321, 0.0395176, 0.247733, 0.323336, 0.832692, 0.783467, 0.691501, 0.111186, -0.0166945, 0.27263, -0.00283707, 0.0132002, 0.667659, 0.029743, 0.696684, -0.0160512, 0
0.467273, 0.00475355, 0.0517903, 0.0112197, 0.989846, 0.243402, 0.866655, 0.301955, 0.638409, 0.00855226, 0.324591, 0.319147, 0.00860261, 0.0134866, 0.0340197, 0.724399, 0.543283, 0.345033, -0.00088821, 0.0571724, 0
0.205102, -0.00498355, 0.467802, 0.00863087, 0.332377, 0.771517, 0.000357352, -0.00092712, 0.983429, 0.00839906, 0.264925, 0.661985, 0.486885, 0.00101664, 0.425409, 0.393416, 0.993541, 0.953922, 0.0047525, 0.974428, 0
