@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64}

@data
0.380993, 0.506769, 0.0019946, 0.321228, 0.000966378, 0.777031, 0.313939, 0.366709, 0.1598, 0.00495525, 0.837054, 0.81182, 0.688513, -0.013699, 0.470091, 0.00326525, 0.00148655, 0.214141, 0.329973, 0.000496908, 0
0.917726, -0.023299, 0.860171, 0.23053, 0.502614, 0.025499, 0.621875, 0.870847, 0.534945, -0.00358513, 0.0688888, 0.299695, 0.00627347, 0.737218, -0.00450428, 0.667353, 0.0415853, -0.0074232, 0.00566645, 0.881621, 0
0.421155, 0.838943, -0.00308928, 0.403211, 0.736232, 0.627189, 0.00770513, 0.00480991, 0.993256, 0.998853, 0.89147, 0.0274936, -0.00392264, 0.910437, 0.559845, -0.00228169, 0.0175491, 0.697114, 0.930799, 0.00995803, 0
0.00360921, 0.495689, 0.564561, 0.624626, -0.000740192, 0.0508222, 0.499362, 0.422163, 0.00876291, 0.293806, 0.675751, 0.815162, 0.581605, 0.00595033, 0.0207208, 0.61102, 0.845597, -0.00593523, 0.589308, -0.00514204, 0
0.838963, -0.00185007, 0.710906, 0.163893, 0.278007, -0.0160331, 0.501299, 0.741661, 0.292194, 0.623964, -0.015335, 0.593145, 0.680305, -0.0073769, -0.00524199, 0.71462, -0.00278659, 0.803337, -0.00525837, 0.123478, 0
0.576043, 0.841541, -0.00484284, 0.595123, -0.00771906, 0.315395, 0.0404867, 0.745696, 0.739459, 0.682695, 0.549444, -0.0149927, 0.270132, 0.0035617, -0.00828132, 0.325833, 0.359303, -0.00456821, 0.0034012, 0.0778417, 0
0.222549, 0.986329, -0.00789925, 0.26469, 0.893091, 0.00934588, -0.00800906, 0.250777, 0.181965, -0.000709902, 0.190658, 0.927823, 0.526216, 0.00493237, 0.00397696, 0.804699, 0.00603697, 0.176645, 0.403691, 0.00197511, 0
-0.005196, 0.210477, 0.850898, -0.00839678, 0.544468, 0.777108, 0.896996, 0.285355, 0.808645, 0.0814307, -0.000589488, 0.899286, -0.00372108, 0.763987, -0.00357519, 0.193228, 0.836583, 0.00494078, 0.630413, -0.00733766, 0
0.894313, 0.00613507, 0.522592, -0.00166852, 0.743523, 0.802826, 0.68649, 0.557786, 0.715502, 0.924218, 0.0123048, 0.657395, 0.748868, 0.00469345, 0.211669, -0.0130072, -0.00975915, 0.271923, 0.280285, 0.00934006, 0
-0.000167288, 0.912866, 0.33556, 0.293908, 0.517353, 0.00148776, 0.553582, 0.709709, 0.718823, 0.00257799, 0.0937227, 0.471568, 0.709023, -0.00902913, 0.00676536, 0.760801, -0.00755137, 0.542994, 0.694953, 0.0142693, 0
0.683826, 0.812671, 0.806541, 0.447451, 0.419134, -0.0201576, 0.768942, -0.00932863, 0.697493, 0.30973, 0.62587, 0.16766, -0.00265157, 0.795104, 0.631215, -0.000835044, -0.00299395, 0.0384836, 0.621451, 0.00567233, 1
0.505804, 0.821032, 0.00896873, 0.20966, 0.00818943, 0.695938, 0.560178, -0.00463371, 0.787731, 0.478096, 0.24788, 0.880478, 0.435412, -0.0103299, 0.00415465, 0.105263, 0.820245, -0.00447641, 0.879395, 0.0140975, 0
0.670152, -0.00183634, 0.830746, -0.00714155, 0.765077, 0.746589, 0.566305, 0.00223407, 0.436819, 0.00131821, 0.972838, 0.872485, -0.0172816, 0.351356, -0.0237745, 0.928284, 0.0090904, 0.119285, 0.0076157, 0.734084, 0
-0.00101413, 0.413081, 0.595034, 0.178078, 0.136439, -0.00218204, 0.308351, 0.914072, 0.000909615, 0.0679259, 0.650603, 0.659827, 0.0364749, -0.00455158, -0.0113021, 0.827446, 0.309813, -0.017098, -0.0179783, 0.194214, 0
0.0204213, 0.227901, 0.178498, 0.00278889, 0.275654, 0.710181, 0.178845, 0.758966, 0.592066, 0.643278, 0.419086, 0.000720035, 0.322442, 0.0116387, -0.0133284, 0.18647, 0.00536811, 0.501391, 0.0093102, 0.17117, 0
0.00796734, 0.971297, 0.330695, 0.904475, 0.2492, 0.0119681, 0.161056, 0.000738092, 0.59266, 0.0734341, 0.990102, 0.112891, 0.34428, -0.0154138, 0.612353, -0.0215832, -0.00703519, 0.53217, 0.609613, -0.0146077, 0
0.703446, 0.219383, -0.00954177, 0.411875, -0.015136, 0.724684, 0.729592, 0.34053, 0.19039, 0.00192991, 0.0680151, 0.127141, 0.926356, 0.00836482, 0.00143277, 0.823125, 0.272013, -0.0138648, 0.0112869, 0.909619, 0
0.326691, 0.377156, -0.0091207, -0.0127001, 0.376044, 0.90249, 0.312117, -0.00782172, 0.87391, 0.185277, 0.593892, 0.542544, -0.000840495, 0.719572, -0.00631647, 0.216207, 0.458574, 0.00118553, 0.00778461, 0.96655, 0
0.552383, 0.0141275, 0.344317, -0.00341727, 0.827315, 0.214752, 0.126658, 0.152688, -0.00161319, 0.844621, 0.414289, 0.325222, 0.735754, 0.0111746, 0.22527, -0.0125737, 0.00268571, 0.733844, 0.247202, -0.00983403, 0
0.0589207, 0.903202, 0.00350164, 0.493928, 0.406368, 0.0918553, -0.00277334, 0.502874, 0.291803, 0.312852, 0.0200778, 0.35409, 0.313659, 0.000112906, 0.891336, 0.00763116, 0.00432146, 0.500936, 0.235076, -0.000905712, 0
0.475161, -0.00235865, 0.448333, 0.605837, 0.0106639, 0.150493, 0.409195, 0.851419, 0.309509, 0.525935, -0.0099105, 0.446059, 0.352895, -0.0172159, 0.985976, -0.00664886, 0.759083, -0.00524207, 0.764152, -0.0133038, 0
