@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute class {0, 1, 2, 4, 5, 8, 16, 32, 64, 128, 256}

@data
0.361574, 0.00972621, 0.938724, 0.768602, -0.0104243, 0.518078, -0.0133215, 0.315994, 0.344243, 0.789047, -0.0105913, 0.401764, -0.00173336, 0.189663, 0.219663, 0.00253824, 0.544515, 0.302999, 0.231158, 0.5834, 0.0143399, 0.0709049, 0.76141, 0.0105021, -0.00240227, 0.912322, 0.171326, 0.624853, 0.00176799, 0.0800364, 0
0.0399181, 0.00709975, 0.817586, 0.696594, 0.581951, -0.000139587, 0.743146, 0.0100578, -0.00472492, 0.600138, 0.800531, 0.688724, 0.791623, 0.27144, 0.00576762, 0.740694, 0.868627, -0.00672187, 0.00460586, 0.271992, -0.00113176, 0.0964928, 0.0914619, 0.871367, -0.00784119, 0.0934213, 0.163495, 0.00947125, 0.227804, 0.790581, 0
0.822678, 0.0103509, 0.000982584, 0.332901, 0.00643006, 0.334529, 0.921678, 0.00217911, -0.00975813, 0.729762, 0.521027, 0.499034, -0.00201324, 0.0977849, 0.900946, 0.637944, 0.37815, 0.0151346, 0.759044, 0.248256, 0.518523, -0.000142022, 0.0654286, 0.822551, -0.00446253, 0.889375, 0.0145259, 0.413907, 0.926403, 0.402769, 0
0.456685, 0.295766, -0.00805865, 0.430712, 0.589721, -0.0062644, -0.00634481, 0.810723, 0.103454, 0.0131412, 0.802834, 0.0571619, 0.290501, 0.0089363, 0.846441, 0.624202, -0.0188194, 0.150076, 0.582856, 0.754046, -0.0096806, 0.0878187, 0.182972, 0.991432, 0.720714, 0.00451209, 0.337796, 0.499498, -0.000419044, 0.283454, 0
-0.0066987, 0.201497, 0.683978, 0.985439, 0.00587383, 0.297441, 0.777853, -0.0140982, 0.445843, 0.00217147, 0.950855, 0.973234, 0.601328, -0.00173854, 0.849752, 0.671166, 0.00415534, 0.538953, 0.600175, 0.929125, 0.0779521, -0.00309498, 0.706871, 0.27892, 0.362811, 0.00322749, 0.463341, 0.105437, 0.11787, -0.00164977, 0
0.410445, -0.00311835, 0.158485, 0.274893, 0.00887332, 0.362734, 0.00234888, 0.664534, 0.282083, 0.0118885, 0.330437, 0.894383, 0.901844, 0.250327, 0.0111883, 0.832238, 0.450283, 0.0257436, 0.00244458, 0.424192, 0.792818, 0.268711, 0.734629, -0.00478724, 0.00706461, 0.507641, 0.382154, 0.214471, 0.173752, 0.00693415, 0
0.864308, 0.00983656, 0.0725895, 0.840783, -0.00574425, 0.44356, 0.00900437, 0.174957, 0.337916, 0.000208964, 0.386716, 0.351456, 0.87482, 0.00188157, 0.215107, 0.50951, 0.869575, 0.145808, -0.0152646, 0.822809, 0.00818445, 0.858995, 0.959439, 0.192739, 0.447727, 0.00686603, 0.901847, 0.275451, 0.288673, -0.00698295, 0
0.502679, 0.821588, -0.0284877, 0.597718, -0.00374317, 0.482631, -0.00196566, 0.25492, 0.00327467, 0.103906, 0.0282281, 0.793939, 0.624432, 0.0314323, -0.00115032, 0.735603, 0.82669, 0.168593, 0.193324, -0.0192345, 0.00159458, 0.225833, 0.20806, 0.638696, -0.0117307, 0.398804, 0.436193, 0.0924015, 0.632591, 0.00697191, 0
0.836918, -0.00496004, 0.305834, 0.215299, 0.681986, 0.00312061, 0.0050035, 0.677839, -0.0104045, 0.18119, 0.427162, 0.104108, 0.537786, -0.0114811, 0.848927, 0.406274, 0.101702, -0.00229503, 0.203888, 0.351535, 0.012111, 0.00710947, 0.925281, 0.373442, 0.383417, -0.000332111, 0.815154, 0.0164643, -0.00841914, 0.576012, 0
0.119329, 0.408899, 0.849209, -0.0171442, 0.702573, -0.00236488, -0.0305622, 0.217767, 0.0328895, 0.614461, 0.303548, 0.0230078, 0.286333, -0.00246036, 0.323582, 0.761631, 0.177781, 0.000133631, 0.436386, 0.0964966, 0.746266, 0.776781, 0.836002, 0.599799, 0.672426, 0.0247308, 0.250599, 0.0857784, 0.622901, 0.0136902, 64
-0.00245854, 0.23128, 0.832647, 0.106675, 0.753786, -0.00813828, 0.21898, 0.00836901, 0.689351, 0.814308, 0.27194, -0.00132314, 0.356149, -0.0034355, 0.619955, 0.952629, 0.915186, 0.389793, 0.0145557, 0.331417, 0.803789, 0.91592, -0.00671688, 0.560865, 0.325511, -0.0112189, 0.437852, 0.532449, 0.0240768, 0.396989, 0
0.542176, 0.729845, -0.00304893, 0.213344, 0.000478409, 0.941571, 0.556846, -0.00798519, 0.00491155, 0.501765, 0.0327398, 0.102021, 0.0560349, 0.00782316, 0.88694, -0.0103126, 0.431366, 0.475797, 0.131508, 0.309304, 0.579506, 0.240931, -0.0155114, 0.974961, -0.000315702, 0.454412, 0.944358, 0.014199, 0.13522, 0.822731, 0
0.297703, 0.00731405, 0.976552, 0.858076, 0.967634, 0.00424119, -0.00381114, 0.919933, 0.0177074, 0.249352, 0.205972, 0.472705, -0.000757688, 0.160686, 0.851761, 0.575858, 0.791848, 0.61902, 0.839129, 0.00039118, 0.121951, 0.928256, 0.0954293, -0.00642394, -0.00807868, 0.755058, -0.00779082, 0.304274, 0.88023, 0.686756, 0
0.629579, -0.00932335, 0.0142347, 0.946863, 0.791694, -0.0217698, 0.471729, -0.00475973, 0.0308581, -0.0158609, 0.300372, 0.684631, 0.852503, 0.438267, 0.00618894, 0.823594, -0.00697409, 0.548462, 0.324455, 0.978962, 0.87231, 0.233685, 0.117181, 0.00422354, 0.458886, -0.0040346, 0.774647, 0.428457, 0.29735, -0.00439586, 0
0.0139355, -0.00871751, 0.861579, 0.360806, 0.056329, -0.00283378, 0.288039, -0.00643787, 0.872616, 0.243351, 0.493614, 0.0155218, 0.0102308, 0.411693, 0.924269, 0.825445, 0.404595, 0.975025, 0.572101, -0.00958638, 0.172463, -0.0108258, 0.299489, 0.886453, 0.0120871, 0.00205858, 0.516504, 0.247215, 0.952926, -0.00153765, 0
0.783866, 0.584503, 0.946328, 0.00481881, 0.279825, -0.0048664, -0.00167204, 0.949439, 0.698747, 0.394882, 0.895685, -0.0187722, 0.277828, 0.509704, 0.0104785, 0.405844, 0.600784, 0.0881102, 0.285566, -0.000772492, 0.992801, 0.985071, 0.760229, 0.00640796, 0.347059, 0.00850853, 0.616168, 0.198448, 0.713131, -0.012647, 0
0.426333, -0.00213914, 0.637179, 0.135699, 0.0602042, 0.0027491, -0.00107695, 0.896142, 0.730659, 0.469137, -0.00348097, 0.956612, 0.00430257, 0.856326, 0.0897599, 0.674717, 0.221703, 0.00521282, 0.960766, 0.220378, 0.784584, 0.61159, -0.00732354, 0.882326, -0.00392975, 0.357113, 0.403022, 0.135533, 0.603231, 0.00319754, 0
0.867822, 0.236056, 0.874459, 0.00997417, -0.00470779, 0.326376, 0.00469007, 0.515569, 0.0878177, 0.969652, 0.869187, -0.0154867, 0.786565, 0.0111295, 0.477763, 0.506631, 0.122286, 0.985486, 0.722906, 0.0105656, 0.75082, 0.031826, 0.684075, 0.73149, -0.0100636, 0.0388567, 0.510419, 0.328976, 0.388684, 0.00690739, 0
0.279327, 0.864416, -0.00307047, 0.893809, -0.00855147, 0.0745675, 0.617924, 0.00158316, 0.0512894, 0.54125, -0.00702099, 0.284884, -0.00809368, 0.296968, 0.0300823, 0.0855676, 0.361246, 0.394598, 0.865844, 0.00767356, 0.762501, 0.897949, -0.00859332, 0.204773, 0.888721, -0.014368, 0.517808, 0.241097, -0.00843621, 0.767456, 0
0.415737, 0.212812, 0.0975683, -5.74679e-05, 0.0019525, 0.148694, -0.0119699, 0.930586, 0.885625, 0.76936, 0.00841818, 0.630869, 0.449601, 0.0189534, -0.0178462, 0.890484, 0.850906, 0.518362, 0.0186476, 0.664506, 0.77171, 0.120905, 0.706587, 0.019156, 0.0119912, 0.324122, 0.354283, 0.468824, 0.011476, 0.862117, 0
-0.00495313, 0.0534427, 0.268464, 0.682949, 0.00520832, 0.637454, 0.582257, -0.00434464, 0.307058, -0.00367385, 0.387582, 0.882442, 0.0183801, 0.393571, 0.784069, 0.848707, 0.207777, -0.0116522, 0.461952, 0.324942, 0.881575, 0.348985, 0.00209145, 0.122095, 0.0213705, 0.0103197, -0.00701935, 0.762649, 0.56644, 0.897055, 0
0.4761, -0.000869523, 0.301275, 0.479068, 0.624911, -0.00274615, 0.019649, 0.516174, 0.719616, 0.0115308, 0.3349, 0.910699, 0.716274, 0.163464, -0.00620347, 0.542, 0.894978, -0.0147488, 0.483127, 0.275729, 0.0307757, 0.941242, 0.525386, -0.00680258, -0.00316947, 0.665401, -0.0141865, 0.669864, 0.342756, 0.915659, 0
0.848263, 0.180024, 0.473693, 0.0024335, 0.214075, 0.00781256, 0.798622, 0.0216971, 0.717785, 0.00739575, 0.826114, 0.411539, 0.00424957, 0.860136, 0.817782, 0.448767, 0.801736, 0.00932385, 0.364362, -0.000355289, 0.848353, 0.0093005, 0.301578, 0.507759, 0.289363, -0.00618698, -0.0060877, 0.43793, 0.519755, 0.552379, 0
0.725267, 0.0132329, 0.0443205, 0.193488, 0.000974733, 0.19047, 0.437218, -0.00106066, 0.815817, 0.00596128, 0.665145, 0.710376, 0.517955, 0.308181, -0.00443779, -0.00437323, 0.354206, 0.869503, 0.265693, 0.708261, 0.6165, 0.465132, 0.334198, 0.00827305, 0.0137752, 0.0780213, 0.412055, 0.885607, -0.0012853, 0.553374, 0
-0.00325042, 0.113864, 0.223663, 0.0895625, -0.0256104, 0.414534, -0.00453421, 0.926773, 0.996101, 0.00390174, 0.975636, 0.757459, 0.297075, 0.0368753, -0.027824, 0.459518, 0.0128727, 0.422843, 0.890309, 0.1055, 0.0708528, 0.88073, -0.00553165, 0.537869, -0.018444, 0.431492, 0.749057, 0.120625, 0.598673, 0.00142576, 0
0.269605, -0.00287966, 0.176238, 0.668064, -0.00960947, 0.507144, 0.0211985, 0.392497, 0.563954, 0.859627, 0.350303, -0.00971436, 0.0111316, -0.00656569, 0.662898, 0.487189, -0.00139601, 0.957373, 0.0465271, 0.705281, 0.944195, 0.00609183, 0.206573, 0.0547345, -0.00271637, 0.343884, 0.487475, 0.0304801, 0.0097557, 0.818699, 0
0.39083, 0.0101523, 0.684529, 0.6185, -0.000481157, 0.655515, 0.000553499, 0.233454, 0.410544, 0.00642948, 0.066513, 0.992717, 0.836037, -0.0113907, 0.187707, 0.179333, -0.00409528, 0.633185, 0.419731, 0.00184489, 0.50915, 0.9343, 0.00371712, 0.036034, -0.0152643, 0.207728, -0.0126983, 0.858305, 0.989098, 0.328239, 0
0.00744966, 0.496494, 0.194911, 0.0245231, 0.0116436, 0.345998, 6.54253e-06, 0.398035, 0.206348, -0.00120248, 0.968422, 0.985022, 0.949729, 0.277931, 0.00481958, 0.0606167, 0.481748, 0.0131284, 0.232299, 0.316483, 0.173179, 0.208423, -0.0073729, 0.458236, 0.0188628, 0.391236, 0.255719, 0.000770436, 0.677313, 0.336446, 0
0.635338, 0.810973, 0.904826, 0.00441188, -0.00253796, 0.289676, 0.965752, 0.00529448, 0.966511, 0.948192, 0.0157082, 0.90015, 0.026451, 0.257077, 0.974096, 0.736334, 0.259769, -0.00271863, 0.818383, 0.252717, 0.888602, 0.19019, 0.0176105, 0.700598, 0.00754771, -0.0037326, 0.0136001, -0.0172309, 0.910295, 0.384206, 0
