@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute class {0, 1, 2, 4, 8, 16, 19, 32, 33, 64, 68, 128}

@data
0.6838, 0.00726016, 0.0572645, 0.130369, 0.643315, 0.00109167, 0.178777, 0.00535406, 0.916074, 0.554559, 0.0036706, 0.7337, 0.200171, 0.710152, 0.658701, 0.563352, 0.957645, 0.0518383, 0.270935, -0.00324058, 0.609208, -0.00662666, 0.661904, 0.824224, -0.00173855, 0.758185, 0.612871, 0.532324, 0.00672205, 0.631377, 0
0.579747, 0.516074, -0.00553167, 0.7337, 0.992053, -0.0166369, 0.134911, 0.679963, -5.31989e-05, 0.291195, 0.237936, 0.00848342, 0.901225, 0.176448, 0.908458, 0.611995, 0.771284, 0.701975, 0.0630458, 0.00422271, 0.0262923, 0.130793, 0.351382, 0.0254872, -0.00543983, 0.274862, 0.202805, 0.584836, -0.0212149, 0.796674, 0
0.740794, 0.568472, -0.00720085, 0.405948, -0.00138073, 0.894582, 0.0673094, 0.416275, 0.00978624, 0.741492, 0.0136769, 0.659137, 0.547453, 0.732548, 0.0731217, 0.206397, 0.00492048, 0.371223, 0.383573, 0.911188, 0.0770319, -0.00899439, 0.14157, 0.604243, 0.0120308, 0.24684, 0.902321, 0.00561741, 0.524326, 0.0994051, 0
0.731668, 0.00499946, 0.87764, 0.519321, 0.260406, -0.0198835, 0.0112444, 0.0475048, 0.536135, 0.4881, 0.869272, 0.119013, 0.129728, 0.73755, 0.011516, 0.0147566, 0.290499, 0.258111, 0.368725, -0.0134331, 0.0632026, -0.0178804, 0.443637, 0.151958, 0.0105295, 0.944126, 0.143081, 0.592264, 0.0633275, -0.0123776, 0
0.360177, 0.0170272, 0.943086, 0.311886, -0.0115335, 0.632298, 0.326478, 0.136121, 0.162871, 0.00513816, 0.463243, 0.217394, 0.0145686, 0.742077, 0.00787554, 0.809843, 0.926868, 0.912352, 0.471889, -0.00132165, 0.925415, 0.0156484, -0.00652969, 0.34645, 0.421111, 0.327989, 0.253896, -0.00580772, 0.258507, 0.505255, 0
0.0322639, 0.381365, 0.0103342, -0.0123623, 0.775152, 0.273743, 0.679236, 0.877999, 0.87455, 0.00613975, 0.00271589, 0.821928, 0.415656, 0.786445, 0.427277, 0.0163473, 0.206773, 0.912656, 0.654522, 0.598848, 0.294293, -0.000186844, 0.972133, 0.574059, 0.107328, 0.00478733, 0.959517, 0.013121, 0.0910542, 0.278319, 0
-0.00920565, 0.490159, 0.418937, 0.0343642, 0.449593, 0.00976364, -0.00519464, 0.680772, 0.758321, 0.694726, 0.00530618, 0.329792, 0.810787, 0.709588, 0.681203, 0.810046, 0.0169619, 0.889472, 0.642566, 0.353551, 0.16507, -0.000441283, 0.0968331, 0.531572, 0.123753, 0.00574641, 0.000313323, 0.645282, 0.690975, 0.117129, 0
0.974685, 0.0123554, 0.654103, 0.00898965, 0.49393, 0.569629, 0.61847, 0.375022, 0.397052, 0.00565912, 0.197922, 0.00535387, 0.182859, 0.6886, 0.521827, 0.334563, -0.0135745, 0.703647, 0.195411, 0.0761849, 0.00218981, 0.96316, 0.366334, 0.315411, 0.00681403, 0.159865, 0.750702, 0.0107764, 0.577178, 0.340267, 0
0.937798, -0.0156757, 0.521691, 0.00262788, 0.326508, 0.864695, 0.0173554, 0.75491, 0.727645, 0.000252583, 0.00137524, 0.713043, 0.00725464, 0.291951, 0.865054, 0.0636587, 0.201689, 0.131228, 0.0105551, 0.553463, 0.222093, -0.0104922, 0.372542, 0.0104861, 0.933158, 0.60801, 0.83491, 0.142491, -0.00233126, 0.569903, 0
-0.0103846, 0.326733, 0.788979, 0.000943314, 0.976967, 0.932244, 0.728385, -0.000112532, 0.977261, 0.871065, 0.0322987, 0.452639, 0.644358, 0.0059032, 0.763058, 0.714025, 0.612903, 0.00369391, 0.745814, 0.350993, 0.00103958, 0.720065, 0.0258971, 0.446823, 0.159068, 0.846762, -0.00635579, 0.507162, 0.748861, 0.845822, 0
