@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 48, 64, 128, 256, 512, 513, 1024}

@data
0.127278, 0.0357816, -0.00517769, 0.569683, 0.996771, -0.00706914, 0.597828, 0.603006, 0.353335, 0.355495, 0.997163, 0.290158, 0.00122705, 0.207159, 0.755702, 0.413539, 0.769725, -0.0217126, 0.991319, -0.000261028, 0.422085, 0.512011, 0.448681, 0.0115829, -0.00391086, 0.576207, 0.00585325, 0.62646, 0.00383947, 0.83955, 0.743884, 0.0120429, 0.455557, 0.121611, 0.30472, -0.00369143, 0.727641, 0.0832598, 0.991264, 0.721138, 0
-0.00308534, 0.0187055, 0.905037, 0.305323, 0.798851, -0.000371854, 0.300349, 0.710653, 0.344808, 0.628946, 0.764305, 0.349292, 0.00463535, 0.482157, 0.911934, -0.0104551, 0.889996, 0.556215, -0.0119324, 0.220604, 0.518369, 0.451037, 0.919785, -0.0131583, 0.00853331, 0.286849, 0.349283, -0.00683747, 0.45522, 0.00411566, 0.85934, -0.0311045, 0.586121, 0.0612244, 0.858458, 0.164526, 0.00910891, 0.288851, 0.761937, 0.996737, 0
0.134482, 0.567268, 0.0137524, 0.136589, 0.00586555, 0.994582, 0.0512924, 0.107847, 0.00280271, 0.624303, 0.197991, 0.308559, 0.233408, 0.00142739, 0.817966, 0.945528, 0.13006, 0.916474, -0.000524319, 0.0833591, 0.259117, 0.0111267, 0.443361, 0.41776, 0.349329, -0.00328627, -0.00729211, 0.841404, 0.872849, 0.00740011, 0.844995, 0.835797, 0.441957, 0.604045, -0.019118, 0.544208, 0.869623, -0.000295509, 0.855206, 0.788145, 0
-0.0098665, 0.633186, 0.692672, 0.596507, 0.270198, 0.789616, 0.630769, 0.000854323, 0.884886, 0.099219, 0.230496, -0.00849552, 0.158012, 0.809127, 0.855667, 0.0585852, 0.813989, -0.0128591, 0.332979, -0.0116442, 0.0710301, -0.0282189, 0.95527, 0.110248, -0.011417, 0.480876, 0.947221, -0.0187814, 0.296683, 0.307767, -0.0109296, 0.688191, 0.713215, 0.00996099, 0.498156, 0.0849559, -0.00815001, 0.282044, 0.842203, 0.0346406, 0
0.130336, 0.745977, -0.0119376, 0.374064, 0.645314, 0.805788, 0.0168738, 0.956032, 0.619462, 0.748758, 0.549728, 0.913784, 0.00345894, 0.693777, 0.840008, 0.98056, 0.0100805, 0.894855, 0.76169, -0.016134, 0.000973974, 0.905673, 0.452012, 0.914057, -0.0154518, 0.177933, 0.191262, 0.00609942, 0.553838, -0.00203331, 0.552724, 0.117063, 0.858549, 0.370526, -0.0194144, 0.464262, 0.00150557, 0.277415, 0.185747, 0.787412, 0
0.00424337, 0.128115, 0.479987, 0.827515, 0.130379, 0.558941, -0.00789774, 0.401044, 0.00163537, 0.638054, 0.0293668, 0.288095, 0.544685, 0.0225723, 0.321367, 0.939199, 0.108698, -0.0114267, -0.00841099, 0.233715, 0.378403, 0.828675, 0.0343192, -0.00296793, -0.00875431, 0.098044, 0.116644, 0.0136929, 0.351728, 0.0848017, 0.00714836, 0.513638, 0.529739, 0.280483, -0.00809546, 0.884287, 0.881716, -0.00802463, 0.849306, 0.720774, 0
0.870071, 0.000968011, 0.661923, 0.659959, 0.42285, 0.1009, 0.90567, -0.0104126, 0.735681, 0.961397, -0.00187498, 0.630369, 0.0135295, 0.762586, 0.213486, 0.497673, 0.335431, 0.00941555, 0.75332, 0.00286807, 0.886198, -0.00490261, 0.928312, 0.897204, 0.559458, 0.00293319, 0.263, -0.00737192, 0.00588211, 0.232843, 0.941215, -0.00763853, 0.197066, 0.652401, 0.169447, 0.39995, 0.707277, 0.902791, 0.177115, -0.0128943, 0
0.0109116, 0.876832, 0.000778472, 0.398297, -0.0136805, 0.17369, 0.469933, 0.70182, -0.00373827, 0.471445, 0.454957, 0.522579, 0.0992821, 0.276113, 0.208327, -0.00638393, 0.361827, 0.837354, -0.00212495, 0.845415, 0.90343, 0.0177225, 0.552048, 0.780386, -0.00220217, 0.835794, 0.232857, -0.013401, -0.00517965, 0.893789, 0.516543, 0.255143, 0.914246, 0.744045, -0.0271252, 0.00453567, 0.917987, 0.125473, 0.0860843, 0.351397, 0
0.039745, 0.974045, 0.0148318, 0.858007, 0.846342, 0.40759, 0.318751, 0.00503458, 0.71079, 0.0106832, 0.877295, 0.211902, 0.740475, 0.0373861, 0.0735299, 0.476964, 0.0152311, 0.771192, 0.732154, -0.00273989, 0.928715, 0.00438077, 0.232071, 0.488983, -0.0149161, 0.383944, 0.746864, -0.0164043, 0.52843, -0.00325937, 0.336851, 0.0108257, 0.213815, 0.176007, 0.0546054, -0.00378081, 0.80777, 0.669435, 0.966861, 0.466233, 0
0.126537, -0.0259765, 0.529231, 0.468428, -0.00555424, 0.780046, 0.0499189, 0.130266, -0.0254861, 0.916266, 0.924816, 0.0587591, 0.355303, 0.880395, 0.643333, 0.332723, 0.159608, 0.00953314, 0.671226, 0.0108773, 0.324356, 0.000360724, 0.500964, 0.707241, 0.454886, -0.00606119, -0.00949172, 0.429324, 0.0152035, -0.00227892, 0.609413, 0.826816, 0.718016, 0.0202715, 0.00172266, 0.260787, 0.577568, 0.0026737, 0.536039, 0.797654, 0
