@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512}

@data
0.892842, 0.330141, 0.0197778, 0.979972, 0.792836, 0.467223, -0.00162971, 0.672453, 0.00378111, 0.932085, 0.964012, 0.665302, 0.253038, 0.0150645, 0.864574, -0.0125692, 0.21366, 0.19048, 0.809147, -0.00265274, 0.77365, 0.766249, 0.704258, 0.00759164, 0.0753928, 0.0126542, 0.552469, 0.980167, -0.00174499, 0.924195, 0.934542, 0.276438, 0.687315, 0.82475, -0.0032475, 0.776865, -0.00784959, 0.0714938, 0.708372, 0.776818, 0
0.005951, 0.861152, 0.938691, 0.558309, -0.00351168, 0.106097, 0.361751, 0.808756, -0.00929852, 0.581788, 0.811594, 0.775719, 0.898397, 0.0189387, 0.465062, 0.655841, 0.698608, 0.000911523, 0.179654, 0.981161, 0.011576, 0.745158, 0.444642, 0.748297, 0.135517, 0.658803, 0.0398977, -0.00768796, -0.00840871, 0.203175, 0.0686268, 0.780732, 0.94231, 0.903598, 0.564763, -0.000306693, 0.00608633, 0.710501, 0.896821, 0.0839092, 0
0.441928, 0.0023988, 0.374725, 0.0837086, 0.320291, 0.695908, 0.0144847, 0.565798, 0.0149292, 0.0118387, 0.880896, 0.30514, 0.61852, 0.393017, 0.72122, 0.00203137, 0.0936952, 0.559243, 0.444191, -0.00168018, 0.770564, 0.0249697, 0.136079, 0.00984784, 0.970439, 0.903986, 0.627696, 0.00799803, -0.000970712, 0.677393, 0.698651, 0.406295, 0.72521, -0.0054527, 0.0434319, 0.0557065, 0.288656, 0.00846982, 0.18332, 0.846292, 0
0.0113446, 0.87428, 0.569529, -0.00880859, 0.660363, 0.920344, 0.00204099, 0.210597, -0.00936235, 0.25579, 0.142191, 0.956771, 0.830288, 0.380985, -0.00576251, 0.58837, 0.430655, -0.00370617, 0.419622, 0.574961, -0.0114417, 0.360193, 0.568148, 0.41018, -0.00386084, 0.825217, 0.323936, 0.418152, 0.0966865, 0.612416, 0.834093, 0.0116571, 0.994782, -0.0162389, 0.383929, 0.292991, 0.646287, 0.245323, 0.00396998, 0.262174, 0
0.609816, 0.0327075, 0.17105, 0.0157906, 0.731601, -0.00570891, 0.835752, 0.0134728, 0.888582, 0.294534, 0.804534, 0.455865, 0.437817, 0.849572, 0.163946, 0.00476401, 0.188392, -0.000451051, 0.0582512, 0.995131, 0.820957, 0.245433, 0.0145831, 0.0135601, 0.663292, 0.0197706, 0.232145, 0.055377, 0.787203, -0.0060055, 0.249159, 0.871973, 0.559939, 0.807695, 0.70382, -0.0180722, 0.398028, 0.512341, 0.0155475, 0.082106, 0
0.82916, 0.813782, 0.000584116, 0.323419, 0.997067, 0.0417202, 0.00623956, 0.393757, 0.202818, 0.317827, -0.00749473, 0.190786, 0.0109634, 0.65713, 0.521212, 0.757793, 0.836878, 0.964817, 0.891341, -0.00411386, 0.776003, 0.00936799, 0.677572, 0.0959645, 0.70565, -0.0053923, 0.212184, 0.772979, 0.827086, 0.406755, 0.409485, 0.904467, -0.00762016, 0.725639, 0.00575617, 0.332966, 0.700805, 0.215008, 0.0386319, 0.00765252, 0
0.30025, 0.639074, -0.00220496, 0.907976, -0.0104724, 0.951779, 0.652178, 0.632071, 0.0238861, 0.00480217, 0.0931659, 0.983956, 0.107998, 0.233871, -0.00738382, 0.028628, 0.0163708, 0.572688, 0.959792, 0.950913, 0.00817326, 0.440505, 0.64905, 0.566969, 0.516378, -0.00702623, 0.770665, 0.19977, 0.534321, 0.17625, -0.00161276, 0.499358, 0.054211, -0.00863863, 0.338037, 0.610795, 0.391026, 0.0240363, 0.815364, 0.416511, 0
0.261309, 0.878837, 0.447206, -0.00111755, 0.0555616, 0.0186165, 0.77451, 0.120436, 0.321699, -0.00350381, 0.980005, 0.878118, 0.000134142, 0.270497, 0.646073, 0.0947933, 0.86763, 0.570671, 0.069743, -0.00846646, 0.433477, 0.0514442, 0.00501175, 0.520444, 0.00222031, 0.927942, 0.522748, 0.671955, 0.0273982, 0.0111081, 0.0908924, 0.0153692, 0.308831, 0.00954918, 0.25024, 0.234004, 0.56295, -0.0134957, 0.900345, 0.580052, 0
0.166457, 0.958933, 0.93665, 0.0159677, 0.911199, 0.1702, 0.00606188, 0.620902, -0.00384005, 0.160938, 0.949746, 0.00248454, 0.900532, 0.63423, 0.735189, 0.692752, 0.748508, 0.000742415, 0.396126, 0.385377, 0.709417, 0.863445, 0.441546, 0.00125066, 0.134581, -0.00512595, 0.30885, 0.276169, 0.109647, -0.00198065, 0.754798, 0.718693, 0.887152, 0.239795, 0.00516659, 0.480576, 0.543565, -0.00545746, 0.577111, 0.934738, 0
-0.00335577, 0.318773, 0.970627, 0.731089, 0.101872, 0.445547, -0.00637408, 0.135872, 0.982234, 0.0077133, 0.288999, 0.489282, 0.627982, 0.779638, 0.00473554, 0.0945965, 0.549647, 0.232723, -0.00452416, 0.294899, 0.940441, 0.535899, 0.00350569, 0.229596, 0.0225155, 0.798684, 0.206679, 0.70319, 0.548387, 0.321846, 0.305812, 0.143313, 0.00930446, 0.233698, 0.0154459, -0.00318116, 0.0615878, 0.761863, 0.00648921, 0.552242, 0
0.965262, 0.64003, 0.196338, -0.00116345, 0.753569, 0.780704, 0.00129483, 0.00265983, 0.409384, 0.404089, 0.81975, 0.84452, 0.324316, 0.688933, 0.115678, 0.0136631, -0.00138304, 0.458441, 0.589853, 0.0690891, -0.0111588, 0.515772, 0.629167, 0.344578, 0.305074, 0.00478009, 0.018669, 0.153341, 0.384674, 0.411341, 0.131634, -0.00524836, 0.727154, 0.0838763, 0.108587, -0.0283777, 0.96666, -0.0119192, 0.868923, 0.151382, 0
0.895714, 0.684315, 0.511304, -0.00827649, 0.0025435, 0.988411, 0.0792824, 0.561615, 0.116679, 0.725245, -0.0190142, 0.288773, 0.980319, 0.0696966, 0.983544, 0.00928711, 0.146633, 0.248998, -0.0129034, 0.0155927, 0.598942, 0.962149, 0.00907786, 0.395164, 0.00238746, 0.972219, 0.0329017, 0.0354029, 0.0308109, 0.603691, 0.540176, 0.123882, 0.00319072, 0.934617, 0.000243644, 0.870612, 0.148817, 0.0088785, 0.153178, 0.0108299, 0
0.825232, 0.0491966, 0.444133, 0.00102493, 0.194385, 0.00122292, 0.37926, 0.670408, 0.0120007, 0.459548, 0.461955, 0.66026, 0.0172083, 0.786482, 0.70065, 0.260109, 0.200849, 0.952506, 0.518872, -0.00645557, 0.503872, 0.631534, 0.00816449, 0.926326, 0.167532, -0.0206245, 0.959202, 0.336085, 0.720806, -0.00922667, 0.658201, 0.400842, 0.76716, 0.00895527, 0.868217, 0.220412, 0.100361, 0.555969, 0.000132677, 0.744327, 0
-0.00158576, 0.708802, 0.452824, 0.327354, -0.00482255, 0.546267, 0.908102, 0.469225, 0.273863, -0.00367755, 0.15188, 0.0218614, 0.188815, 0.813099, 0.0157912, 0.824523, 0.229786, 0.649075, 0.428495, -0.0183946, 0.212538, 0.625317, 0.506984, -0.019962, 0.261933, 0.00882237, 0.671631, 0.525605, -0.00984791, 0.292908, 0.466943, 0.206954, 0.586359, 0.450495, 0.110702, 0.00207267, 0.0168898, 0.916923, 0.254883, 0.743638, 0
0.0115743, 0.541408, 0.483384, 0.0201184, 0.531835, 0.579362, -0.00152727, 0.011826, 0.0483301, 0.282286, 0.944201, 0.00108722, 0.877261, 0.288264, 0.515782, 0.832962, -0.0123272, 0.945715, 0.790503, 0.248523, 0.542519, 0.0176288, 0.184749, 0.0197118, 0.638005, 0.634925, 0.722633, -0.00510332, 0.605018, 0.353608, 0.00755591, 0.0141474, 0.607946, 0.449117, 0.0009619, 0.679184, 0.186246, 0.0107619, 0.173274, 0.591472, 0
-0.016002, 0.91748, 0.789625, 0.307942, 0.212278, 0.380967, 0.00120048, 0.768131, 0.160248, 0.872966, -0.00714917, 0.562052, 0.587153, 0.142301, 0.00962823, 0.898399, 0.132597, 0.000515383, -0.0231997, 0.871328, 0.0121375, 0.910966, 0.150894, 0.945016, 0.0286016, 0.422013, 0.00681113, 0.495437, 0.828499, 0.784696, 0.996728, 0.258468, 0.0149533, 0.452374, 0.888899, 0.00390714, 0.188025, 0.986849, -0.0136171, 0.0682135, 0
