@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64, 128, 132, 256, 512, 1024, 1088, 2048, 2304}

@data
0.00387084, 0.27059, -0.0113769, 0.57604, 0.963457, 0.0703351, -0.0124473, 0.985971, 0.91078, 0.00522606, 0.0578554, 0.598624, 0.52512, 0.541781, -0.0111583, 0.927782, 0.538975, 0.953299, 0.168971, 0.0105805, 0.364165, 0.88954, 0.00277759, 0.372095, 0.774642, 0.355022, -0.00384539, 0.909969, 0.758006, 0.00505059, -0.00351845, 0.66687, 0.277808, 0.243521, 0.951329, 0.0299824, 0.2791, -0.00777426, 0.687486, 0.809047, 0
-0.00664654, 0.267622, -0.000961406, 0.189934, 0.271084, 0.96317, -0.00560972, 0.528211, 0.499788, 0.0796306, 0.885123, 0.843974, 0.00185187, 0.142166, 0.744053, 0.00156197, 0.911967, 0.798783, 0.917708, -0.0071716, 0.14213, 0.972756, 0.879964, -0.00301942, 0.60758, 0.338363, 0.00506092, 0.272133, 0.0260816, 0.246119, 0.362821, 0.586883, 0.0118677, 0.133151, 0.164672, 0.152019, -0.0118387, 0.163394, 0.748203, -0.00193453, 0
0.646884, 0.00717672, 0.127273, 0.821379, -0.00620191, 0.153439, -0.00394741, 0.861938, 0.933178, 0.0180815, 0.774664, 0.062895, 0.566331, 0.923219, -0.000869177, 0.971894, 0.314404, 0.670226, -0.00163083, 0.473303, 0.997319, 0.468667, 0.226067, 0.000345982, 0.526378, 0.411428, 0.868808, 0.0077343, 0.0102434, 0.517426, 0.68638, 0.206707, 0.36862, 0.119199, 0.00393163, 0.134986, -0.00208791, 0.671369, 0.0122567, 0.763224, 0
0.73749, 0.00720555, 0.488131, 0.00712527, 0.242982, 0.00106573, 0.973923, 0.0591912, 0.780166, 0.659383, 0.209226, -0.00879504, 0.784173, -0.00354313, 0.260296, 0.0197272, 0.706171, 0.602514, -0.00564066, 0.993504, 0.0311243, 0.807184, 0.507881, -0.00960326, 0.216877, 0.345546, 0.927637, -0.015399, 0.336121, 7.98862e-05, 0.0221852, 0.634306, 0.809375, 0.92899, -0.0083637, 0.361629, -0.00628782, 0.517089, 0.00552246, 0.646749, 0
0.00610196, 0.829177, 0.112392, 0.447991, -0.000383916, -0.0119561, 0.763274, 0.518015, 0.0131223, 0.498001, 0.852672, 0.822436, -0.00144307, 0.772988, 0.480686, 0.570639, 0.0138376, 0.969309, 0.641264, 0.0127276, 0.423268, 0.314594, 0.029376, 0.516429, 0.649553, 0.0178164, 0.00224111, 0.464445, -0.0192701, 0.797419, 0.535072, 0.295128, -0.010814, 0.915299, 0.00887684, -0.0300332, 0.472368, -0.0148951, 0.593432, 0.201918, 0
-0.00524415, 0.0431306, 0.680257, 0.00472767, 0.115016, 0.00737027, 0.872149, -0.00485516, 0.28, -0.0210571, 0.327086, 0.128004, 0.0478372, 0.869199, -0.000984176, 0.971555, 0.229086, 0.641437, 0.723293, 0.983445, -0.0141135, 0.687511, 0.334907, 0.10665, 0.00318173, 0.0900172, -0.018874, 0.713711, 0.330606, -0.00370507, 0.788217, 0.851063, 0.921444, -0.010442, 0.0482002, -0.0105199, 0.784869, 0.00418008, 0.421768, 0.720654, 0
0.00834355, 0.87614, -0.00915952, 0.860573, 0.146535, -0.000267602, 0.247167, 0.915914, 0.0181605, 0.615752, 0.976751, 0.00764917, 0.50709, -0.0145564, 0.208756, 0.0192228, 0.167851, 0.451628, 0.00113526, 0.536317, 0.214461, 0.451542, 0.604217, -0.0120804, 0.402222, 0.641257, 0.425826, 0.00610757, -0.00814258, 0.950357, 0.0445699, 0.185036, 0.00156264, 0.626658, 0.228347, -0.0106511, 0.394202, 0.260667, -0.0139639, 0.315975, 0
-0.0107033, 0.910804, 0.338543, 0.868311, -0.00612478, 0.361371, -0.0159392, 0.123361, 0.00737453, 0.120809, 0.202534, 0.497932, 0.635755, 0.380518, 0.435613, 0.384026, -0.00961716, 0.777778, 0.398037, 0.51369, -0.00852134, 0.990113, 0.435848, 0.00280224, 0.827842, 0.235152, 0.679037, 0.00998676, -0.000785754, 0.941259, 0.424362, 0.791098, 0.000599863, 0.501551, 0.725034, -0.000155434, 0.0843036, 0.180012, -0.015665, 0.794328, 0
0.00798403, 0.317925, 0.498796, 0.344246, 0.0112883, 0.210888, 0.00880996, 0.626469, 0.792753, 0.202082, 0.413942, 0.0175469, 0.154084, 0.811937, 0.623791, 0.273438, 0.00493882, 0.807406, 0.25956, 0.00255268, 0.370207, 0.00133054, 0.185465, 0.589697, 0.157807, 0.968093, 0.398561, -0.000322384, -0.00431684, 0.899981, 0.337696, 0.00514471, 0.0092321, 0.533726, 0.961616, 0.137544, 0.00213286, 0.364216, 0.353954, 0.00214426, 0
-0.0100028, 0.540714, 0.215201, -0.00408674, 0.160029, 0.568554, -0.00544933, 0.431837, -0.00954693, 0.807135, 0.749906, 0.364292, 0.0625577, 0.0150058, 0.040183, 0.90502, 0.803817, 0.0176347, 0.916628, 0.0118882, 0.481865, 0.0564447, 0.952312, -0.00325375, 0.968054, 0.342865, 0.00944658, 0.988077, -0.0089375, 0.527149, 0.134288, 0.039015, 0.368756, 0.831727, -0.00484557, 0.914456, 0.0178431, 0.355959, 0.590051, -0.00378339, 0
0.918694, -0.000390962, 0.684322, 0.349844, -0.00405293, 0.130947, -0.00465515, 0.184037, -0.0100358, 0.44019, 0.31204, 0.125249, 0.74546, 0.928375, 0.0106411, 0.70619, 0.947997, 0.29145, 0.0090615, 0.323422, 0.00640005, 0.0066659, 0.833503, 0.69441, 0.342584, 0.981387, 0.122201, 0.00143343, 0.000184917, 0.495376, 0.481299, -0.00463303, 0.0909261, 0.0672506, 0.750144, -0.00437242, 0.740323, 0.514388, 0.741276, 0.749146, 2048
0.00908083, 0.54515, 0.00272015, 0.263, 0.775801, -0.0025111, 0.622032, 0.0704061, 0.702781, 0.940926, 0.00266496, 0.552883, 0.817971, 0.943803, 0.432528, 0.189188, 0.883003, 0.000347636, -0.000986025, 0.856091, 0.503001, 0.935533, 0.999895, 0.521831, 0.554553, 0.00444723, 0.00435974, 0.0105623, 0.895429, 0.0012236, 0.864015, 0.00122319, 0.0473629, 0.830519, 0.866247, 0.327583, 0.0059334, 0.802341, 0.00296574, 0.182916, 0
0.185041, -0.015471, 0.0614334, 0.299556, -0.00133986, 0.960566, 0.00141195, 0.646231, 0.884369, 0.74835, 0.00200667, 0.915768, 0.391454, 0.352673, 0.0115463, 0.129249, 0.997207, 0.541282, 0.0630537, 0.146283, -0.00491319, 0.00137081, 0.0624004, 0.566309, 0.0179381, 0.0277533, 0.0450463, 0.00760894, 0.00435946, 0.528296, 0.00278222, 0.480175, 0.598136, 0.0534858, 0.702745, -0.00922231, 0.906611, 0.311334, 0.0799088, -0.000298807, 0
0.446483, 0.0119618, 0.198075, 0.143206, -0.009646, 0.739608, 0.150198, 0.0105058, 0.0748017, -0.0145973, 0.244348, 0.436099, 0.501388, 0.114653, 0.970938, 0.493722, 0.846241, 0.00687948, 0.00760851, 0.205187, 0.890324, 0.756932, 0.00278009, 0.593822, 0.326861, 0.748963, 0.219919, 0.0245604, 0.00159631, 0.656072, 0.244039, 0.69239, 0.0273934, 0.32555, -0.0111166, 0.000897409, 0.728429, 0.00070345, 0.312644, 0.606075, 0
0.0133367, 0.348669, 0.326667, 0.438944, -0.00496856, 0.00153007, 0.232714, 0.319649, 0.00841061, 0.000804214, 0.386254, 0.408773, 0.210646, 0.027223, 0.207344, 0.42922, 0.807909, 0.0126035, 0.875668, 0.910048, -0.00374389, 0.243743, 0.852877, 0.956899, -0.0116087, 0.203488, -0.0075254, 0.588172, 0.744581, -0.00570601, 0.260406, 0.293809, 0.68327, -0.012336, 0.634213, 2.39317e-05, 0.587118, 0.000707661, 0.750995, 0.386091, 0
0.0104299, 0.545068, -0.00333631, 0.905392, 0.501454, 0.244827, 0.0809094, 0.00139946, 0.0643073, 0.0832574, 0.914143, 0.0116744, 0.153424, 0.621136, -0.000174284, 0.939061, 0.340218, 0.299661, -0.00952816, 0.401278, 0.938141, 0.554394, 0.723011, 0.941708, 0.0111519, 0.79738, 0.467496, 0.00958648, 0.819252, -0.00848128, 0.225262, 0.968974, -0.00189496, 0.333727, 0.702886, 0.00737893, 0.40429, 0.0129524, 0.0554437, 0.245551, 0
0.0179833, 0.0658749, -0.00320148, 0.836819, 0.496933, 0.814689, 0.0101887, 0.912196, 0.000268544, 0.483471, 0.0307282, 0.124315, 0.241373, 0.570559, 0.0043695, 0.383227, 0.964249, 0.807113, 0.908056, 0.37964, -0.00621336, 0.00840516, 0.608616, 0.959991, 0.566593, 0.965909, 0.343622, -1.80436e-05, 0.263969, -0.00232551, -0.00358603, 0.648302, 0.0833293, 0.442005, 0.643321, -0.0161113, 0.115857, 0.307309, -0.00934077, 0.92338, 0
0.355294, -0.00904689, 0.389871, 0.564973, -0.0013004, 0.648448, 0.729594, 0.0190475, 0.467707, 0.618877, -0.0133251, 0.158999, 0.830355, 0.00129019, 0.289098, 0.49871, 0.599647, 0.602331, 0.00761056, 0.128981, 0.333303, 0.158566, -0.00545094, 0.13716, 0.725152, 0.0850215, 0.928768, 0.00565682, 0.458955, -0.00465817, 0.645179, 0.15017, 0.463991, -0.00170521, 0.20428, -0.00604559, 0.453388, 0.808437, 0.368905, -0.000329786, 0
0.00208949, 0.375874, 0.315344, 0.316938, 0.00595708, 0.118858, 0.0136129, 0.996756, 0.915486, 0.7076, -0.00800546, 0.882832, 0.646389, 0.822928, 0.203787, -0.00885528, 0.67007, 0.936802, 0.0249708, -0.0105601, 0.137144, 0.398201, 0.542221, 0.111278, -0.0194731, 0.550526, 0.0154081, 0.626983, 0.476272, 0.000541268, 0.00601741, 0.121396, 0.54167, 0.242376, 0.664071, -0.0139468, 0.406752, 0.504875, 0.00252444, 0.307725, 0
