@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute var_0040 real
@attribute var_0041 real
@attribute var_0042 real
@attribute var_0043 real
@attribute var_0044 real
@attribute var_0045 real
@attribute var_0046 real
@attribute var_0047 real
@attribute var_0048 real
@attribute var_0049 real
@attribute class {0, 1, 2, 4, 8, 16, 24, 32, 64, 80, 128, 256, 512, 1024, 1032, 2048, 4096, 8192}

@data
0.010901, 0.449193, 0.815378, 0.71571, -0.0172206, 0.152311, -0.00088435, 0.518593, 0.78464, 0.632006, 0.686068, 0.0112458, 0.615901, 0.860574, 0.0878978, 0.235846, 0.562605, 0.417211, -0.00711762, 0.00320347, 0.0113216, 0.956968, 0.671461, 0.00633814, 0.0904953, -0.00476251, 0.197923, 0.859993, 0.422004, 0.427955, 0.712091, 0.00431191, 0.940289, 0.370751, 0.474618, -0.00278314, 0.568456, 0.540934, 0.00631632, 0.47031, 0.27967, 0.241587, 0.016859, 0.140654, 0.708517, -0.00473554, 0.767312, -0.00308359, 0.576804, 0.113241, 0
0.800244, -0.00204767, 0.644743, 0.222051, 0.635465, 0.00855921, 0.915001, -0.00406293, 0.498586, 0.247012, 0.702345, 0.605648, -0.0141114, 0.934554, 0.819842, 0.587764, -0.0216883, 0.993668, 0.991706, 0.341266, -0.00812089, 0.0109006, 0.877463, 0.407614, 0.97227, 0.833333, 0.00461865, 0.781005, 0.285555, 0.246985, 0.893687, 0.938314, 0.00941968, 0.209047, 0.141197, 0.0117344, 0.368026, 0.312354, 0.34971, 0.622362, 0.0258919, -0.00627828, 0.488702, 0.01147, 0.979872, 0.0117691, 0.844381, 0.336041, 0.692855, 0.00567266, 0
0.342447, -0.00394397, 0.249548, 0.238432, 0.00388188, 0.665189, -0.0124633, 0.181947, 0.486212, 0.498499, 0.000988729, 0.857184, 0.266431, 0.55861, 0.27994, -0.00123319, 0.0540878, 0.802573, 0.968284, -0.00651865, 0.811771, 0.686051, 0.954811, 0.00971423, 0.576355, -0.00183068, 0.249551, 0.776417, 0.760297, 0.00595411, 0.560827, 0.0931166, 0.581989, 0.0048874, -0.00820011, 0.73568, 0.340228, 0.666704, 0.552774, 0.132352, 0.202141, -0.00850231, -0.0260958, 0.551898, 0.669586, 0.00242624, 0.216794, 0.874519, 0.793775, 0.000648826, 0
0.45045, 0.00630061, 0.734895, 0.303893, -0.00604077, 0.632648, 0.378477, 0.0600407, 0.0145469, 0.0206062, 0.376941, 0.158435, 0.35025, -0.00235155, 0.0845717, 0.720428, 0.60566, -0.0149951, 0.135023, -0.0139736, 0.487783, 0.319129, -0.0112522, 0.867938, 0.175666, 0.11058, 0.327338, 0.0158281, 0.0165871, 0.0732265, 0.00401069, 0.136851, 0.890763, 0.987536, 0.00722682, 0.769696, 0.932952, 0.00339245, 0.952978, 0.133697, 0.579173, 0.998376, 0.0198259, 0.554813, 0.14049, -0.0150446, 0.0356119, 0.0105366, 0.502769, 0.633172, 0
0.760497, 0.803162, 0.815471, 0.0149134, 0.0847079, 0.000735034, 0.749187, 0.371537, 0.793722, 0.00718003, 0.275514, 0.807828, 0.7671, -0.00850964, 0.47915, 0.0952784, 0.608217, 0.183846, 0.0014628, -0.00469162, 0.734923, -0.0132968, 0.379806, 0.90856, 0.418144, 0.00301137, 0.492307, 0.939138, 0.316605, 0.388946, 0.218572, -0.0070556, 0.207419, 0.544118, 0.537246, -0.00452088, 0.381131, 0.112728, 0.145157, 0.858928, 0.350483, 0.00868179, 0.289601, -0.000166618, 0.828776, 0.727636, 0.0045031, 0.00755725, 0.615594, 0.972329, 0
0.0106755, 0.562028, 0.166243, 0.011573, 0.946301, 0.000271313, 0.522746, 0.000277855, 0.283368, 0.585265, 0.0172293, 0.744336, 0.459865, 0.89242, 0.451682, 0.683637, 0.00854363, 0.419028, 0.463011, 0.00244446, 0.883747, 0.0751425, 0.0104796, 0.70688, 0.438877, 0.186042, 0.00904927, 0.311345, 0.169768, 0.0579131, 0.444848, 0.071425, -0.00472293, 0.384808, 0.951017, 0.00739845, 0.805539, 0.122137, -0.00580388, 0.774372, 0.448152, 0.504017, 0.816398, -0.00237293, -0.00910452, 0.887873, 0.985002, 0.559793, -0.0127944, 0.932145, 0
0.353626, 0.13332, 0.00412514, 0.0872492, 0.230868, -0.00730414, 0.809114, 0.00509735, 0.822142, 0.0745786, 0.405691, 0.473589, 0.254651, -0.0112057, 0.167296, 0.135712, 0.883036, 0.228266, -0.0120302, 0.000136083, 0.0719499, 0.562636, 0.933078, 0.0124432, 0.00777256, 0.133305, -0.00331885, 0.131629, 0.340875, 0.798979, 0.335073, 0.318766, 0.35408, 0.0101349, 0.0214743, 0.274007, -0.00963347, 0.517548, 0.622269, 0.0147632, 0.571359, 0.0689641, -0.0119821, 0.626738, 0.990578, -0.00919457, 0.823299, 0.0949676, 0.0169883, 0.907684, 0
0.000661432, 0.0833674, 0.37232, 0.933838, 0.851299, 0.00956498, 0.363716, 0.290555, 0.000817739, 0.595263, 0.275658, 0.00923454, 0.0967501, -0.0115843, 0.0586976, 0.939566, 0.803872, 4.85646e-05, 0.347839, -0.00113328, 0.0492837, 0.748875, 0.729455, 0.894773, 0.0123069, 0.31992, 0.00816617, 0.404426, 0.724331, 0.131257, 0.824027, 0.00779213, 0.309269, 0.520022, 0.253309, -0.00116917, 0.347737, 0.972863, -0.00913537, 0.217121, 0.0789268, 0.697047, 0.279482, 0.00795235, 0.645441, 0.893482, -0.00574125, 0.220806, 0.194095, 0.00940024, 0
0.961238, -0.0005042, 0.120456, 0.949867, 0.918157, 0.0114672, -0.0399322, 0.307513, 0.595112, 0.0442904, 0.467776, 0.848807, -0.00924583, 0.360987, 0.791244, 0.0228241, 0.569069, 0.69443, 0.970712, 0.342713, -0.0155786, 0.0787482, 0.816149, 0.0392543, 0.0145834, 0.36413, 0.951529, -0.00380228, 0.221518, 0.776857, 0.00063111, 0.223538, 0.761779, 0.426831, 0.809753, 0.960998, -0.00149837, 0.313753, 0.804604, 0.451807, -0.00343413, 0.840009, 0.00689889, 0.570671, 0.012305, 0.920162, 0.875827, 0.944775, 0.000575726, 0.609771, 0
-0.00628976, 0.455139, 0.880262, 0.806833, 0.0823793, -0.00822729, 0.182738, 0.10251, 0.268624, -0.0229875, 0.43338, 0.846, 0.614459, -0.00191578, 0.574188, 0.108917, 0.474757, -0.00861521, 0.704708, 0.0177855, 0.59693, 0.322785, 0.170275, 0.0102882, 0.229903, 0.577107, 0.942446, -0.0212938, 0.709362, 0.632427, 0.237603, 0.781084, 0.19742, -0.00613048, -0.00691539, 0.319497, 0.338043, 0.010874, 0.903541, 0.109733, 0.804708, 0.37929, 0.96867, 0.0114801, 0.663228, -0.0121696, 0.315536, 0.0189254, 0.252621, 0.863851, 0
