@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute var_0040 real
@attribute var_0041 real
@attribute var_0042 real
@attribute var_0043 real
@attribute var_0044 real
@attribute var_0045 real
@attribute var_0046 real
@attribute var_0047 real
@attribute var_0048 real
@attribute var_0049 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 2050, 4096, 4352, 8192}

@data
0.00291262, 0.518103, 0.558532, 0.329967, 0.301195, 0.249298, 0.8639, 0.501458, -0.00440157, 0.911249, 0.00292526, 0.840235, 0.00270841, 0.738959, 0.375882, 0.808943, 0.0130241, 0.22319, 0.548727, 0.142696, -0.000823661, 0.493633, 0.991408, 0.761734, 0.806659, 0.247376, -0.00869202, 0.00481451, 0.590848, 0.76303, -0.00933509, 0.0541252, 0.725175, 0.427167, 0.0361606, 0.0135534, 0.584473, 0.00105616, 0.902557, 0.156548, 0.196323, 0.00365786, 0.415353, 0.5482, 0.461653, -0.00874678, 0.547071, 0.137025, 0.471917, -0.00792099, 0
0.641388, -0.00827784, 0.584751, 0.0184363, 0.514862, 0.808486, -0.00851227, 0.865825, 0.901086, 0.0177301, 0.303686, 0.463801, 0.708394, -0.00577979, 0.00096354, 0.960988, 0.529516, 0.828766, 0.735971, 0.00460459, 0.110789, 0.148906, 0.568037, -0.00993759, 0.604757, 0.30524, 0.193541, 0.139059, 0.00566424, 0.375425, 0.00169011, 0.301554, 0.951981, -0.00137819, 0.779066, 0.930209, 0.00103214, 0.62961, 0.633908, 0.566557, -0.00977413, 0.240607, 0.648037, 0.618052, 0.524609, -0.00604938, 0.82212, 0.981722, 0.572275, 0.00977744, 0
0.963176, 0.0115985, 0.225026, 0.838324, 0.712575, 0.695091, 0.625963, -0.0175844, 0.102989, 0.96, 0.522875, -0.00796067, -0.00694825, 0.691311, 0.492891, 0.702116, 0.380965, -0.00673213, 0.320801, 0.00504315, 0.52711, 0.393506, 0.0966472, 0.0832511, 0.772915, 0.00334143, 0.519964, 0.0047171, 0.374012, 0.9183, 0.141274, -0.00142395, 0.695219, 0.835809, -0.00932115, 0.576711, 0.239089, -0.00489859, 0.576041, -0.0136136, 0.553969, 0.238779, 0.316052, 0.755094, 0.10582, 0.00820031, 0.683202, 0.666117, 0.166157, -0.00239533, 0
0.221721, 0.114146, 0.00109647, 0.862958, 0.832674, 0.551645, 0.570408, 0.381317, 0.00452346, 0.00791821, 0.617093, 0.755047, 0.455036, -0.00719713, -0.00988915, 0.78582, 0.247396, 0.139902, 0.0111628, 0.935594, 0.781991, 0.555856, 0.6225, 0.493105, 0.00140675, 0.802885, 0.931069, 0.000552744, 0.121823, 0.385239, 0.000504084, 0.966653, 0.215047, -0.01924, 0.398905, 0.518592, 0.193785, -0.00316516, 0.334208, 0.00977925, 0.721239, 0.681933, -0.0175114, 0.522465, 0.197739, 0.802669, 0.799842, 0.419943, 0.51578, 0.0117278, 0
0.276004, 0.000927487, 0.225453, 0.304338, 0.0141839, 0.408361, 0.229567, 0.47135, 0.0072339, 0.00686862, 0.528834, 0.526942, 0.0596254, -0.013507, 0.642891, 0.80797, 0.807717, 0.00733532, 0.0327627, 0.242132, 0.627194, 0.00659255, 0.114448, 0.0745639, 0.71759, 0.873228, 0.000885742, 0.00627082, 0.411793, 0.305127, -0.000901615, 0.600379, 0.00536291, 0.259186, -0.00323113, 0.374529, 0.00559897, 0.46625, 0.827991, 0.49053, 0.326305, -0.00784009, 0.39687, 0.470213, 0.99545, 0.0137508, 0.304369, 0.987291, 0.728743, -0.0066264, 0
0.219227, 0.470269, 0.468004, -0.00539364, 0.624614, 0.852834, 0.690931, 0.66657, 0.00398212, 0.674385, 0.00822812, 0.93103, 0.00671603, 0.890103, 0.0103829, 0.260069, 0.933759, 0.275258, 0.757441, -0.0144559, 0.237781, 0.624924, 0.15702, 0.261827, 0.00376417, 0.299816, 0.195061, 0.683361, 0.588892, -0.00847776, 0.00129774, 0.868968, 0.86152, 0.0140447, 0.683567, 0.624598, 0.95156, 0.00306639, 0.867265, 0.0508125, 0.01814, 0.746022, 0.455769, 0.114289, 0.600542, 0.00376377, 0.0445437, 0.14196, 0.00256516, 0.404295, 0
0.697643, 0.526347, -0.0108761, 0.653646, 0.724011, 0.819734, 0.00687415, 0.00265745, 0.951979, 0.46941, 0.959059, -0.00778724, 0.172195, -0.00236478, 0.693813, 0.00219354, 0.865774, 0.720043, 0.189979, 0.258739, 0.63959, 0.00859228, 0.0633098, 0.549218, 0.438515, 0.590599, 0.00918032, 0.0370993, 0.985831, -0.00503635, 0.104526, 0.953114, -0.00466361, 0.412299, 0.00762442, 0.839429, -0.00441711, 0.831109, 0.77128, 0.410773, 0.0072402, -0.016727, 0.754169, 0.860686, 0.966604, 0.247036, -0.00222817, 0.600472, 0.00300753, 0.11523, 0
0.0101052, 0.731126, 0.827037, 0.159032, 0.842749, 0.979083, 0.00370719, 0.994578, 0.237852, -0.00646815, 0.74147, 0.632298, 0.00580118, 0.511769, 0.395296, -0.011965, 0.88423, 0.440656, 0.732588, -0.00270254, 0.150594, 0.0815723, 0.867249, -0.0012128, 0.926659, 0.984928, 0.457536, 0.00889743, 0.261326, 0.112205, 0.901968, -0.000148022, 0.34272, 0.00241181, 0.433818, 0.16982, 0.128925, -0.00874986, 0.86509, -0.00729829, 0.0329865, 0.977937, -0.00913977, 0.83179, 0.315504, 0.67132, 0.251053, -0.00753397, 0.138501, 0.765718, 0
0.953124, 0.731472, 0.9186, 0.00404899, 0.0685619, 0.302933, -0.00975538, 0.678277, 0.833004, 0.318542, 0.00110666, 0.980597, 0.183813, -0.012825, 0.0083417, 0.690769, 0.304196, 0.441541, 0.0978987, 0.91285, 0.0076943, 0.0636017, 0.955106, -0.00118417, 0.776764, 0.874693, 0.922748, 0.92524, 0.00221951, 0.154892, 0.00463347, 0.151561, 0.181596, 0.803226, -0.0093665, 0.211943, 0.0134388, 0.221962, -0.0032763, 0.932018, 0.537143, 0.75831, 0.147747, 0.498588, 0.825151, -0.0157253, 0.16791, 0.00414766, 0.566441, 0.41019, 0
0.121571, 0.86631, 0.861236, 0.661538, -0.00271311, 0.700995, 0.21272, 0.485251, -0.000362166, 0.955327, 0.22949, -0.00324194, 0.00165856, 0.643874, 0.899251, -0.00625927, 0.294947, 0.381827, 0.894614, 0.300598, 0.115719, -0.000594975, 0.816009, 0.20149, 0.134011, 0.601287, -0.0136415, 0.569834, -0.00769302, 0.666674, 0.0972274, -0.00970577, 0.511234, 0.395818, 0.681362, -0.00754524, -0.00040532, 0.482745, 0.219751, 0.00565997, 0.299354, 0.077084, -0.00773441, 0.136129, 0.447536, 0.992929, 0.526829, 0.0996523, 0.00249243, 0.332443, 0
