@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute var_0040 real
@attribute var_0041 real
@attribute var_0042 real
@attribute var_0043 real
@attribute var_0044 real
@attribute var_0045 real
@attribute var_0046 real
@attribute var_0047 real
@attribute var_0048 real
@attribute var_0049 real
@attribute var_0050 real
@attribute var_0051 real
@attribute var_0052 real
@attribute var_0053 real
@attribute var_0054 real
@attribute var_0055 real
@attribute var_0056 real
@attribute var_0057 real
@attribute var_0058 real
@attribute var_0059 real
@attribute var_0060 real
@attribute var_0061 real
@attribute var_0062 real
@attribute var_0063 real
@attribute var_0064 real
@attribute var_0065 real
@attribute var_0066 real
@attribute var_0067 real
@attribute var_0068 real
@attribute var_0069 real
@attribute var_0070 real
@attribute var_0071 real
@attribute var_0072 real
@attribute var_0073 real
@attribute var_0074 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152}

@data
0.901121, 0.0176151, 0.271908, 0.675229, 0.00533602, 0.354802, 0.0175837, 0.235599, 0.0589356, 0.012269, 0.0816738, -0.00920161, 0.804208, 0.959797, 0.202089, 0.38137, 0.878758, -0.00336875, 0.686142, 0.00910693, 0.575661, 0.236975, 0.536363, 0.0342121, -0.0141617, 0.0118007, -0.0239353, 0.839817, 0.16439, 0.150594, 0.184326, 0.0131011, -0.00776504, 0.867093, 0.852718, 0.157267, 0.475214, 0.00544889, 0.625359, 0.000518783, 0.981539, 0.852732, -0.0293009, -0.00438459, 0.485319, -0.00433181, 0.362031, 0.1891, -0.00746864, 0.503991, 0.926643, 0.540755, -0.00562183, 0.00556469, 0.668746, -0.00957593, 0.236707, 0.579633, 0.0503789, 0.901224, 0.874735, 0.125235, 0.933575, 0.00275083, 0.548986, 0.766888, -0.00395687, 0.697497, 0.181535, 0.908094, 0.0245617, 0.575354, 0.192501, 0.161042, -0.00324635, 0
-0.00393619, 0.755949, 0.352784, 0.00725327, 0.796095, 0.44043, 0.994324, 0.00624856, 0.891767, 0.611935, 0.00053256, -0.00263853, 0.940111, 0.0297361, 0.955058, -0.00203076, 0.618459, 0.156984, 0.817402, -0.000838237, 0.284511, 0.53858, 0.427675, -0.00407681, 0.829993, 0.7467, -0.000766225, 0.246345, 0.750608, 0.862604, -0.0138859, 0.373408, 0.178538, 0.113629, 0.35142, 0.176984, 0.0102933, 0.247038, 0.644316, -0.00507993, 0.669681, -0.0110715, 0.423838, 0.00827966, 0.870761, 0.563959, -0.00092477, 0.801468, -0.0101757, 0.905376, 0.358082, 0.026644, -0.0236118, 0.61615, 0.778597, -0.00221036, 0.706912, 0.29028, 0.439926, 0.28563, 0.786982, -0.000640582, 0.289839, 0.44089, 0.0180767, 0.64708, -0.00317332, 0.227812, 0.318951, 0.89998, 0.024266, 0.0266248, 0.74148, 0.0836615, -0.0162707, 0
-0.00907515, 0.412842, 0.337696, 0.0461622, 0.00721987, 0.0217443, 0.0090488, 0.7108, 0.00829946, 0.00289217, 0.83321, 0.116881, -0.000676196, 0.0740611, 0.0022806, 0.784026, 0.724144, 0.441067, 0.0108374, 0.463783, 0.68658, 0.2637, 0.194633, 0.00630388, 0.24788, 0.921811, 0.812889, 0.0101495, 0.602236, 0.135911, 0.552307, 0.00569667, 0.0625916, 0.238737, 0.0224988, 0.215334, 0.531829, -0.00528238, 0.754818, -0.00321042, 0.416209, 0.0047427, 0.502335, 0.53317, -0.00843992, 0.183724, 0.794119, 0.00849407, 0.194598, 0.00669277, 0.873294, 0.535074, 0.467366, 0.000683274, 0.109689, 0.473518, 0.602184, 0.902225, 0.000557899, 0.254744, 0.683009, 0.215688, 0.933449, -0.0115937, 0.295767, -0.00829246, 0.8, 0.584686, 0.685693, 0.290653, -0.00453447, 0.0641527, 0.559363, 0.899062, 0.00217899, 0
-0.0103919, 0.715151, 0.562825, 0.0174329, 0.183222, 0.709528, 0.610342, -0.0109002, 0.414287, -0.00369724, 0.736551, -0.00261925, 0.829223, 0.171971, 0.00154608, 0.70423, 0.88664, 0.441433, 0.776687, 0.649349, -0.00156736, 0.653705, 0.924885, 0.928287, 0.578633, 0.407837, -0.00947078, 0.825816, 0.662191, 0.729104, -0.0128802, 0.923815, 0.702399, 0.832842, 0.943857, 0.0446048, 0.684185, 0.00540895, 0.808885, -0.0158812, 0.00621993, 0.717716, 0.140189, -0.00344478, 0.824264, 0.434266, -0.020036, 0.95872, 0.624921, 0.835642, 0.254376, -0.0348246, -0.00104846, 0.0233365, 0.796256, 0.0369565, 0.191499, 0.943579, 0.121088, 0.00386746, 0.81114, -0.017231, 0.649813, 0.149834, 0.739809, 0.00985708, 0.716316, -0.0236925, 0.93241, 0.20252, 0.716789, 0.325728, 0.379387, 0.449402, -0.00536608, 64
0.000994773, 0.407315, 0.598908, -0.00877107, 0.136519, 0.0658375, 0.480854, -0.0129112, 0.817912, -0.0111998, 0.829202, 0.375741, 0.00051415, 0.717292, 0.0639508, 0.813454, 0.271686, -0.002305, 0.753692, -0.0064959, 0.175754, 0.922926, -0.00340846, 0.664576, 0.891474, -0.0132951, 0.190583, 0.568645, 0.552386, 0.665076, 0.67687, 0.256017, 0.830754, 0.00577789, 0.594928, 0.27706, 0.852027, -0.0125479, 0.257813, 0.00806948, 0.487424, -0.00571997, 0.0648191, 0.609627, -0.00363936, 0.643706, 0.158467, -0.0256739, 0.489478, 0.00296447, 0.475565, 0.218335, 0.225186, -0.00391878, 0.466018, 0.0868546, 0.791485, 0.726116, 0.7924, 0.00830802, 0.640911, 0.0348266, 0.00564135, 0.0992605, 0.331329, 0.399474, -0.0157194, 0.151576, 0.705263, 0.0690547, -0.0139982, 0.482812, 0.242096, 0.233049, -0.00537483, 0
-0.00178949, 0.222419, -0.0130136, 0.731293, 0.791854, 0.380891, 0.755379, 0.0100573, 0.516592, 0.115732, -0.00233969, 0.102631, 0.0153506, 0.625837, 0.00739233, 0.75777, 0.829499, 0.112697, 0.0108046, 0.842623, -0.0065563, 0.342962, 0.635611, 0.380319, 0.654274, -0.00149049, 0.392996, 0.0586106, 0.596617, 0.809569, -0.00175662, 0.649574, 0.564224, 0.0409703, 0.161865, 0.918496, -0.0191727, 0.153337, 0.00665945, 0.661263, 0.148377, 0.00197655, 0.975639, 0.00954265, 0.2917, 0.325959, -0.0030436, 0.502902, 0.252979, 0.0101318, 0.723976, 0.891291, 0.0126971, 0.789415, 0.788661, 0.344523, 0.997975, 0.29592, 0.0825856, 0.00391794, 0.520158, 0.00841861, 0.385515, 0.573884, 0.121052, -0.00805721, 0.730783, 0.851421, 0.0076828, 0.124339, 0.898557, 0.781263, 0.0167723, 0.0333228, 0.569531, 0
-0.00506968, 0.271482, 0.728139, 0.867638, -0.00705189, 0.566467, 0.10526, 0.593605, -0.0179647, -0.0152116, 0.290785, 0.486997, -0.00852977, 0.231659, 0.00202559, 0.27488, 0.885221, 0.491936, -0.0100976, 0.249219, 0.764869, -0.00590606, 0.246525, 0.485916, 0.594668, 0.990979, 0.169141, 0.799745, 0.215122, 0.00419539, 0.320086, 0.570733, 0.702205, 0.00315028, 0.307506, 0.00631185, 0.680994, 0.681957, 0.0100172, 0.832099, 0.770077, 0.501565, 0.00354246, 0.333717, 0.00258279, 0.837583, 0.401924, -0.0089603, 0.523975, 0.58481, 0.0287639, 0.776581, 0.249379, -0.017294, 0.198521, 0.536768, 0.453199, 0.179887, 0.488746, 0.00483935, 0.346681, 0.13277, 0.426762, 0.00300104, 0.140861, 0.744108, -0.00231538, 0.856932, 0.204703, 0.325777, 0.00135186, 0.693871, -0.0018566, 0.192689, 0.0571495, 0
-0.0272645, 0.509007, 0.302563, 0.844256, 0.309008, 0.0163066, 0.328439, -0.00839872, 0.504465, -0.0211937, 0.825331, 0.00854527, 0.426736, 0.466521, -0.0245743, 0.832095, 0.821654, 0.679542, 0.00464222, 0.227576, 0.0624457, 0.496747, 0.477172, 0.00335198, 0.733236, 0.482406, 0.819333, 0.496648, 1.24618e-05, 0.0201295, 0.603765, -0.0124208, 0.742143, 0.926364, 0.116409, 0.496611, 0.703161, -0.01148, 0.0182213, 0.957219, 0.00490396, 0.719895, 0.569791, 0.144135, 0.014599, 0.183734, 0.643933, 0.0114914, 0.931206, -0.0146385, 0.753092, 0.949655, -0.011172, 0.685355, 0.883505, 0.0960021, 0.00180019, 0.803761, 0.630156, 0.0216139, 0.154798, 0.383003, 0.3273, 0.329158, -0.00436898, -0.00923197, 0.965992, 0.468506, 0.709704, 0.658957, 0.942497, 0.00670485, 0.753086, 0.00535442, 0.365459, 0
0.647795, -0.00463769, 0.328889, 0.352303, 0.0142126, 0.512746, 0.105888, 0.0941812, -0.00282781, -0.00055275, 0.0776754, -0.012033, 0.0991052, 0.101593, -0.00214234, 0.433985, 0.261236, 0.67058, -0.00111711, 0.42235, 0.978054, 0.80824, 0.19861, 0.00333544, 0.548642, 0.710099, 0.00875431, 0.971169, 0.28873, 0.126496, -0.0188131, 0.15342, 0.32771, 0.593892, 0.152563, -0.00093037, 0.551825, 0.450653, 0.00572267, 0.313055, 0.855357, 0.365228, -0.009468, 0.692341, 0.0274127, 0.999858, -0.0110715, 0.997768, -0.0132486, 0.135599, 0.648282, 0.826106, 0.331371, 0.489703, 0.0144628, 0.381748, 0.747864, -0.0154192, 0.780094, 0.679634, 0.790485, -0.0172108, 0.486188, 0.598178, 0.647118, 0.817552, 0.0170476, 0.2613, -0.00800575, 0.733135, 0.0982354, 0.098315, 0.862582, -0.012363, 0.249666, 0
-0.00983899, 0.999718, 0.601865, 0.462396, 0.237724, 0.00580133, 0.763898, -0.0061423, 0.426257, 0.97795, -0.00294875, 0.0133319, 0.465555, 0.563193, 0.142964, 0.725682, 0.649808, 0.016649, 0.877708, -0.00531445, 0.328005, 0.896052, 0.0115955, 0.389892, 0.263716, 0.890424, 0.133947, 0.267753, -0.00970619, 0.286025, 0.0113575, 0.391451, 0.102458, 0.630916, -0.0109641, 0.448179, 0.855696, 0.501716, 0.883583, -0.00402135, 0.908673, 0.00570841, 0.752485, 0.751042, 0.0190106, 0.0152943, 0.44061, 0.565899, 0.0748767, 0.0365939, 0.00782027, 0.879674, 0.94341, 0.929242, 0.00263189, 0.372095, 0.00122653, 0.924056, 0.46789, 0.595855, 0.872836, -0.00122621, 0.631555, 0.760546, 0.197378, 0.974147, -0.00818734, 0.00660007, 0.577511, 0.711637, 0.918732, 0.602815, 0.114729, 0.000852806, 0.753328, 0
