@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute var_0040 real
@attribute var_0041 real
@attribute var_0042 real
@attribute var_0043 real
@attribute var_0044 real
@attribute var_0045 real
@attribute var_0046 real
@attribute var_0047 real
@attribute var_0048 real
@attribute var_0049 real
@attribute var_0050 real
@attribute var_0051 real
@attribute var_0052 real
@attribute var_0053 real
@attribute var_0054 real
@attribute var_0055 real
@attribute var_0056 real
@attribute var_0057 real
@attribute var_0058 real
@attribute var_0059 real
@attribute var_0060 real
@attribute var_0061 real
@attribute var_0062 real
@attribute var_0063 real
@attribute var_0064 real
@attribute var_0065 real
@attribute var_0066 real
@attribute var_0067 real
@attribute var_0068 real
@attribute var_0069 real
@attribute var_0070 real
@attribute var_0071 real
@attribute var_0072 real
@attribute var_0073 real
@attribute var_0074 real
@attribute var_0075 real
@attribute var_0076 real
@attribute var_0077 real
@attribute var_0078 real
@attribute var_0079 real
@attribute var_0080 real
@attribute var_0081 real
@attribute var_0082 real
@attribute var_0083 real
@attribute var_0084 real
@attribute var_0085 real
@attribute var_0086 real
@attribute var_0087 real
@attribute var_0088 real
@attribute var_0089 real
@attribute var_0090 real
@attribute var_0091 real
@attribute var_0092 real
@attribute var_0093 real
@attribute var_0094 real
@attribute var_0095 real
@attribute var_0096 real
@attribute var_0097 real
@attribute var_0098 real
@attribute var_0099 real
@attribute class {0, 1, 2, 4, 5, 8, 16, 32, 64, 96, 128, 256, 264, 512, 1024, 1088, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 540672, 1048576, 1048832, 2097152, 4194304, 8388608, 16777216, 20971524, 33554432, 33554560, 67108864, 134217728, 268435456}

@data
0.281476, 0.0132407, 0.583235, 0.470077, 0.974852, 0.0102971, 0.646484, 0.0179404, 0.620956, 0.904173, 0.507159, -0.00419389, -0.00299088, 0.536928, 0.366015, 0.0522608, 0.834127, -0.010852, 0.0860162, -0.00549201, 0.537693, 0.675107, 0.527288, 0.234529, 0.956021, 0.0167478, 0.615877, 0.525981, 0.434653, 0.0115615, 0.110317, 0.00175284, 0.063224, 0.180583, 0.980608, -0.0115779, 0.713196, -0.00674415, 0.92118, 0.753143, -0.00245381, 0.956316, 0.972992, 0.037497, -0.0205905, 0.331211, 0.197881, 0.726075, 0.00321884, 0.428851, 0.625929, -0.0287378, 0.515713, 0.0117852, 0.111911, 0.962297, -0.00140959, 0.87223, 0.157806, 0.339732, 0.0100782, 0.999572, 0.415821, 0.152608, 0.0148311, 0.861069, 0.00333056, 0.930384, 0.309069, -0.0129796, 0.857991, 0.701514, 0.103392, -0.0162044, 0.317599, 0.346014, 0.796918, 0.010605, 0.00484611, 0.0751978, 0.638297, 0.373602, 0.785274, 0.00920465, 0.897524, 0.00049802, 0.0138651, -0.0114162, 0.668569, -0.00128642, 0.715571, 0.845141, -0.00966601, 0.67302, 0.155655, 0.724365, 0.759872, 0.141002, -0.0203869, 0.814639, 0
0.80201, 0.00175491, 0.426142, 0.698996, 0.0366827, 0.194668, 0.472554, 0.341626, 0.440753, 0.0117306, 0.318989, -0.0114751, -0.00447681, 0.841502, 0.140914, 0.3134, 0.50205, 0.0397172, 0.00599424, 0.863536, -0.0124761, 0.59292, 0.157772, 0.211285, -0.00280587, 0.932368, 0.356747, 0.163285, 0.00346237, 0.446573, 0.179161, 0.00127172, 0.284243, 0.724022, 0.0118553, 0.47641, 0.0108295, 0.193988, 0.783, 0.279263, 0.367463, 0.697516, 0.0204818, -0.00197017, 0.253428, 0.701624, 0.00508542, 0.897104, 0.654163, 0.00465621, 0.70523, 0.865986, 0.684915, 0.00393813, 0.840142, 0.140908, -0.00280074, 0.344893, 0.00825365, 0.840059, 0.546921, 0.505766, 0.781282, 0.397733, 0.76088, -0.000794994, 0.543738, 0.00622627, 0.00671792, 0.887872, 0.815128, 0.084451, 0.511793, 0.979111, -0.00435766, 0.20176, 0.886443, 0.000418911, 0.0821548, 0.013441, 0.638743, 0.38363, 0.408213, -0.00724476, 0.931964, -0.0118964, 0.695531, 0.720984, 0.439594, -0.00508088, 0.0774444, 0.699163, 0.364133, 0.340566, 0.26503, 0.00375547, 0.967991, 0.0123944, 0.365004, 0.175484, 0
0.879065, 0.396995, 0.00874162, 0.142133, 0.736111, 0.604282, -0.018886, 0.374477, 0.842863, 0.203519, -0.00749357, 0.142563, 0.826486, -0.0177766, 0.791693, 0.819771, 0.376272, 0.295829, 0.00429326, 0.00942995, 0.767816, 0.858135, 0.234743, 0.39169, 0.00578386, 0.892419, -0.00122894, 0.961267, 0.881345, 0.604743, 0.0994257, 0.683253, 0.0124488, 0.046996, 0.011694, 0.236261, 0.300009, 0.443159, 0.600369, 0.00277685, 0.217205, 0.497783, 0.00695601, 0.602179, 0.00544321, 0.554541, 0.0389395, -0.00775681, 0.461781, 0.00778203, 0.990236, 0.0931164, 0.0212441, -0.00812819, 0.603534, 0.616678, -0.00496093, 0.465917, 0.271018, 0.920996, 0.42239, 0.256792, 0.0139092, 0.125846, 0.967991, -0.00338786, 0.0185057, 0.00767351, 0.0108379, 0.74106, 0.401072, 0.0777412, 0.961233, 0.0133771, 0.181117, 0.612517, 0.899996, -0.00526037, 0.887852, 0.725917, -0.00756095, 0.786715, 0.785919, 0.997954, -0.00967235, -0.00427403, 0.543962, 0.456813, 0.400278, 0.696871, 0.161514, 0.0107031, -0.00744683, 0.835041, 0.213027, 0.466602, 0.479194, 0.0435114, 0.755842, -0.0261908, 0
0.841582, -1.10528e-05, 0.944709, 0.893804, 0.672429, 0.434818, 0.0751484, 0.158005, 0.698146, -0.0125167, 0.925943, 0.0109036, 0.226871, 0.00540065, 0.24149, 0.381674, 0.0335924, 0.340186, 0.0155676, 0.824569, 0.977207, 0.389132, -0.00989634, 0.753003, 0.425454, 0.00712834, 0.578441, 0.0414103, 0.00100209, 0.817172, 0.0904657, 0.446694, 0.000971032, 0.00294214, 0.6352, 0.50625, 0.119605, 0.0163587, 0.0848045, 0.789097, 0.420768, 0.172888, -0.0322078, 0.591675, -0.00716632, 0.42974, 0.843105, 0.211319, 0.0114686, 0.183765, 0.0339598, 0.0130364, 0.638647, 0.392309, -0.014028, 0.368696, 0.424965, -0.0292453, 0.2235, -0.00148783, 0.595049, 0.872708, 0.945575, 0.755572, 0.458295, -0.00840384, 0.517065, -0.00302018, 0.00258316, 0.238475, 0.105532, 0.0103335, 0.864177, 0.0531628, 0.250728, 0.791761, 0.265496, 0.00380855, 0.892586, 0.684815, 0.699047, 0.83308, 0.654743, 0.00402348, 0.660342, 0.0103683, -0.00590643, 0.446422, 0.241779, 0.0460103, -0.00167384, 0.654467, 0.374655, -0.00176792, 0.34772, 0.263075, 0.333765, 0.376928, 0.742689, -0.00542589, 8388608
-0.0101243, 0.639004, 0.628031, 0.33502, 0.47845, 0.55625, 0.18102, -0.00994491, 0.444622, 0.607371, 0.000301056, 0.937375, 0.672451, 0.287275, -0.00506198, 0.733212, 0.235131, 0.547504, -0.000274231, 0.0628498, -0.00527727, 0.459246, 0.980932, 0.270738, 0.351636, 0.00423928, 0.537954, 0.00407182, 0.0738083, 0.0827539, 0.657804, 0.00699339, 0.453866, -0.0152153, 0.14815, 0.704033, 0.826345, -0.0138546, 0.849819, 0.544268, 0.435815, 0.894383, 0.00657081, 0.000359714, 0.0865621, -0.00440526, 0.705709, 0.0753919, 0.207834, 0.00613242, -0.00556547, 0.419534, 0.566378, 0.00983255, 0.569795, 0.984298, 0.37285, 0.00856897, 0.270794, 0.017161, 0.462802, 0.767577, 0.459103, 0.00352619, 0.0708491, 0.458767, -0.0125219, 0.910989, 0.614202, -0.00715667, 0.670299, 0.319215, 0.863869, 0.0114316, 0.408233, 0.375395, 0.00770418, 0.827649, 0.579326, 0.499657, 0.373254, 0.117837, 0.00203583, 0.624736, -0.00723415, 0.088516, 0.0134518, 0.038385, -0.00798687, 0.717625, 0.178143, 0.284238, 0.00395738, 0.544697, 0.22825, 0.51903, 0.172622, 0.255598, -0.00270368, 0.878885, 0
0.939619, 0.257903, 0.456725, -0.00460145, 0.996156, 0.232795, 0.457815, 0.00872018, 0.982969, 0.47636, 0.299828, 0.0142295, 0.0555895, 0.00494988, 0.634188, 0.30806, 0.499038, 0.582526, 0.0211557, 0.121915, 0.432219, 0.592638, 0.00431626, 0.163591, 0.176953, -0.0159331, -0.00497502, 0.617679, 0.183178, 0.501668, 0.450441, -0.00161277, 0.224921, -0.00391496, 0.675487, 0.310194, 0.331779, 0.0145366, 0.004635, 0.0432292, 0.335739, -0.00340544, 0.830766, -0.00538816, 0.015905, 0.0219835, 0.714923, 0.00133043, 0.748048, 0.0672539, 0.407021, -0.000624811, 0.717917, 0.150868, 0.0036204, 0.711177, 0.421914, 0.0115692, 0.793332, 0.59961, -0.0207651, 0.206119, 0.0626599, 0.36858, 0.0947275, 0.00820643, 0.324825, -0.0184885, 0.0133874, 0.237605, 0.319485, 0.550054, -0.0148691, 0.435782, 0.71184, 0.46132, -0.0050194, 0.106858, 0.302763, 0.368105, 0.113601, 0.00108711, 0.00470364, 0.550029, 0.00847242, 0.731639, 0.0897287, -0.00137734, 0.896591, 0.113162, 0.00431742, 0.383611, 0.134072, 0.198941, 0.0126582, 0.585395, 0.0503163, 0.595602, 0.36893, -0.000358024, 0
0.846862, 0.397412, 0.0181598, 0.221618, 0.722665, 0.375036, 0.31742, 0.300944, 0.0723773, -0.00749166, 0.433832, 0.00230505, 0.996642, -0.0130716, 0.405222, 0.458436, 0.236536, 0.296274, 0.0143932, 0.181066, -0.0012049, 0.927833, 0.0158309, 0.654671, 0.00649819, 0.16353, 0.901073, -0.00813983, 0.0815824, 0.80471, 0.27894, 0.00770312, 0.974041, 0.392495, 0.0721205, 0.00102537, 0.542355, 0.20414, 0.0230933, 0.00926688, 0.0103152, 0.518703, 0.062081, 0.755219, -0.00562761, 0.799298, 0.658286, 0.0155879, 0.273141, 0.823749, -0.0168713, 0.0669433, 0.901875, -0.0143879, 0.908888, 0.000734069, 0.863376, 0.815398, 0.407541, -0.00217511, 0.877008, 0.344419, 0.939277, 0.510558, 0.639404, 0.0143203, 0.643551, -0.00286688, -0.0135719, 0.515988, 0.147988, 0.427394, 0.00938628, 0.330285, 0.355954, 0.0102704, 0.0881288, 0.785517, 0.541779, 0.943878, 0.949371, 0.213691, 0.000423534, 0.150209, -0.00304482, 0.114092, 0.744528, 0.00290709, 0.243991, 0.00851692, 0.18876, 0.0290092, 0.297161, 0.126639, 0.566022, 0.587167, 0.00671209, 0.142047, 0.680473, 0.0126647, 0
0.80181, 0.203027, 0.622825, 0.971844, 0.0152023, 0.0205004, 0.61231, 0.780617, 0.0199829, 0.192301, 0.0996787, -0.00838255, 0.225111, 0.555203, 0.583493, 0.20111, 0.00345776, 0.986495, -0.00401075, 0.789145, 0.588021, 0.995328, 0.00152406, 0.877468, 0.322227, 0.00154056, 0.408921, 0.0535222, 0.0556913, -0.0116136, 0.186566, 0.428003, 0.0224335, 0.0768728, -0.0125554, 0.155703, 0.319359, 0.714712, 0.117412, 0.00138194, 0.400733, 0.0759802, 0.00469649, 0.0129274, 0.0558781, 0.924062, 0.908937, -0.00641832, 0.378709, 0.836523, 0.411976, 0.388733, -0.0139797, 0.0202574, 0.976071, 0.291422, -0.0146101, 0.603016, 0.0257486, 0.970853, 0.585536, 0.653087, -0.00283118, 0.563315, 0.0193731, 0.678501, 0.876091, 0.00348657, 0.0109391, -0.00105454, 0.949125, -0.0107277, 0.031896, 0.143114, 0.575848, 0.387965, -0.00965065, 0.47916, 0.0665568, 0.103854, 0.00381372, 0.613146, 0.945845, 0.0085315, 0.17548, 0.601903, 0.849566, -0.00892127, 0.152458, 0.159217, -0.00106915, 0.804977, 0.496523, 0.797332, 0.279998, 0.865803, -0.0173583, 0.690197, -0.0023668, 0.532753, 0
0.547043, 0.336817, 0.573259, 0.00635808, 0.103404, 0.415643, 0.00727929, 0.752151, 0.573813, 0.841778, 0.169041, -0.00655857, -0.0127868, 0.0155501, 0.368691, 0.70915, 0.129797, 0.00191781, 0.864498, 0.795841, 0.265639, 0.580425, 0.731462, 0.000448774, 0.985322, 0.00616445, 0.772738, 0.354553, -0.0162922, 0.264093, 0.586106, 0.110997, 0.000521713, 0.000609498, 0.828104, 0.179021, 0.0090431, 0.958328, 0.0676279, 0.0788241, 0.0020279, 0.736684, 0.606466, 0.00957486, 0.265425, 0.700648, 0.677502, -0.0140097, 0.0788272, 0.293496, 0.171282, 0.11111, 0.0249953, -0.00622045, 0.683682, -0.00267727, 0.860265, 0.792641, -0.00814684, 0.782032, 0.974219, 0.224766, 0.595823, 0.213851, 0.530563, -0.00580054, 0.000312737, 0.531494, 0.00468209, 0.768485, 0.931079, 0.0123079, 0.0165588, 0.203213, 0.551861, -0.00249743, 0.708639, 0.278425, 0.00312084, 0.646622, -0.000358196, 0.286718, 0.693669, 0.00179979, 0.392873, 0.190875, -0.0125461, 0.0480964, 0.590025, -0.00460144, 0.944347, 0.513257, 0.876441, 0.364891, 0.602396, 0.00875859, 0.315893, 0.00183441, 0.835784, 0.525418, 0
0.483218, 0.596924, 0.364751, 0.0207711, 0.00854574, 0.709125, 0.0226496, 0.408344, 0.930597, 0.75069, 0.998182, 0.00999179, 0.0519952, 0.284323, 0.201527, 0.0173452, 0.393034, 0.270386, 0.00791943, 0.483584, 0.270596, 0.0453032, 0.00263874, 0.0971785, -0.00375084, 0.951665, 0.554665, 0.899037, -0.00679805, 0.600198, -0.00635929, 0.796708, 0.291051, 0.00170164, 0.365643, 0.686521, 0.894255, 0.0161664, 0.407962, 0.594581, -7.03712e-05, 0.305629, 0.826711, 0.0193613, 0.0137133, 0.917577, -0.0040803, 0.892721, 0.137608, 0.964284, -0.00251377, 0.571017, 0.787599, 0.0159643, 0.236635, 0.00763021, -0.00676635, 0.964404, 0.0889301, 0.0131374, 0.689647, 0.223058, 0.249962, 0.44348, -0.00177267, 0.218927, 0.937847, -0.0122154, 0.0395527, -0.00432623, 0.618847, 0.182902, 0.710371, 0.00855967, 0.545044, 0.98058, 0.0164172, 0.785032, 0.538737, 0.0271057, 0.253889, 0.378258, 0.00751032, -0.0167752, 0.391915, 0.010054, 0.350394, 0.659005, 0.956863, -0.0283034, 0.452268, 0.993868, 0.383222, 0.0163495, 0.677478, 0.725556, 0.57073, 0.431655, 0.0413498, 0.0015865, 0
