@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute var_0040 real
@attribute var_0041 real
@attribute var_0042 real
@attribute var_0043 real
@attribute var_0044 real
@attribute var_0045 real
@attribute var_0046 real
@attribute var_0047 real
@attribute var_0048 real
@attribute var_0049 real
@attribute var_0050 real
@attribute var_0051 real
@attribute var_0052 real
@attribute var_0053 real
@attribute var_0054 real
@attribute var_0055 real
@attribute var_0056 real
@attribute var_0057 real
@attribute var_0058 real
@attribute var_0059 real
@attribute var_0060 real
@attribute var_0061 real
@attribute var_0062 real
@attribute var_0063 real
@attribute var_0064 real
@attribute var_0065 real
@attribute var_0066 real
@attribute var_0067 real
@attribute var_0068 real
@attribute var_0069 real
@attribute var_0070 real
@attribute var_0071 real
@attribute var_0072 real
@attribute var_0073 real
@attribute var_0074 real
@attribute var_0075 real
@attribute var_0076 real
@attribute var_0077 real
@attribute var_0078 real
@attribute var_0079 real
@attribute var_0080 real
@attribute var_0081 real
@attribute var_0082 real
@attribute var_0083 real
@attribute var_0084 real
@attribute var_0085 real
@attribute var_0086 real
@attribute var_0087 real
@attribute var_0088 real
@attribute var_0089 real
@attribute var_0090 real
@attribute var_0091 real
@attribute var_0092 real
@attribute var_0093 real
@attribute var_0094 real
@attribute var_0095 real
@attribute var_0096 real
@attribute var_0097 real
@attribute var_0098 real
@attribute var_0099 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 520, 1024, 2048, 2052, 4096, 8192, 16384, 32768, 65536, 131072, 131200, 262144, 524288, 589824, 1048576, 2097152, 4194304, 4194306, 8388608, 8454144, 16777216, 33554432, 33554440}

@data
0.955031, 0.939441, 0.67651, 0.962283, 0.575879, 0.327121, 0.704038, 0.00583426, 0.455651, 0.0132723, 0.265683, 0.837008, 0.204834, -0.00458317, 0.860113, 0.936605, 0.952351, 0.339525, 0.00117496, 0.0960407, 0.990659, 0.500716, 0.455002, 0.0135105, 0.661844, 0.535461, 0.585924, 0.00139511, 0.669243, 0.817219, 0.00978004, 0.377782, 0.804273, 0.298195, 0.500766, -0.00454023, -0.0189812, 0.188639, 0.880599, 0.00101159, 0.0255468, 0.386714, 0.931567, 0.750309, -0.0196558, 0.465913, -0.00895386, 0.271288, 0.455685, 0.797734, 0.592752, 0.013375, -0.000322589, 0.204831, 0.65137, 0.016421, 0.523762, -0.000641791, 0.157507, 0.0891874, 0.21246, 0.184412, 0.0162495, 0.429595, 0.569459, 0.546039, 0.29929, 0.00830744, 0.288025, 0.193141, 0.458582, 0.00326592, 0.416347, 0.00459353, 0.773743, 0.114957, 0.0620995, -0.00192202, 0.588072, 0.161107, 0.0240052, 0.419411, 0.223782, 0.752977, 0.00848172, 0.196621, 0.471711, 0.644677, 0.0086654, 0.0980776, 0.391369, 0.976187, 0.11665, 0.175305, 0.00422305, 0.525366, 0.0632566, 0.251317, -0.0120506, 0.40959, 1
0.00426058, 0.0387225, 0.204751, 0.521212, 0.305313, 0.511942, -0.0145648, 0.0659262, 0.452772, -0.00862734, 0.165803, 0.871063, 0.662114, 0.00392876, 0.397654, 0.509262, 0.663197, 0.219355, 0.473117, 0.462269, 0.09477, 0.871021, -0.00978968, 0.646481, 0.0192256, 0.0575374, 0.924206, -0.00985194, 0.0989628, 0.492352, 0.129964, 0.869423, -0.00320458, 0.326258, 0.231641, -0.0123939, 0.00134357, 0.488507, 0.248291, 0.762728, 0.24321, 0.00236628, -0.0195764, 0.818684, 0.619977, 0.965578, 0.621808, 0.549249, 0.00672615, -0.0113212, 0.764815, 0.338132, 0.466548, 0.00332574, 0.0607305, 0.872761, 0.0520472, 0.30514, 0.33605, 0.623571, 0.00811122, 0.110351, 0.538241, 0.210407, -0.00564205, 0.435249, 0.476311, 0.832542, 0.0149369, 0.312585, 0.292094, -0.0054141, 0.788638, -0.010703, 0.394182, 0.926658, 0.552166, 0.345812, 0.013257, 0.361982, 0.637886, 0.788153, 0.0298273, 0.162123, 0.983905, 0.667192, -0.000849409, 0.390319, 0.0649021, 0.153764, 0.430704, -0.00217983, 0.0611377, 0.379218, -0.00422252, 0.740286, 0.74577, 0.829721, 0.810693, 0.79859, 33554432
0.945198, 0.885649, 0.669344, 0.632437, 0.782477, 0.746327, 0.00938075, 0.0126749, 0.104289, 0.338017, 0.437386, -0.0126567, 0.1866, -0.000732608, 0.866188, 0.481143, 0.745324, 0.516082, 0.738471, 0.568421, 0.444364, 0.0104686, 0.215437, 0.455512, 0.213396, 0.461239, 0.0104891, 0.00153473, 0.404534, 0.27604, 0.241811, -0.000738531, 0.934829, 0.0164227, 0.740292, 0.778296, 0.318581, 0.960607, 0.00374618, 0.939736, 0.439907, 0.0113285, 0.167218, 0.25963, 0.809283, -0.0110428, 0.67096, -0.00419762, 0.853307, 0.00649662, 0.186122, 0.138161, 0.0561865, 0.549031, 0.389031, 0.775256, 0.00160623, 0.398514, 0.00408381, 0.747744, 0.498483, 0.837845, 0.834133, 0.934642, 0.625211, 0.274231, -0.00970196, 0.00169003, 0.126203, 0.00811495, 0.842246, 0.778612, 0.58812, 0.0252205, 0.254105, 0.130846, 0.556904, -0.000136651, 0.0180961, 0.106385, 0.68482, 0.592512, 0.57362, 0.014323, 0.774751, 0.00435413, 0.0394665, 0.991476, 0.197921, 0.0710726, 0.0147251, 0.662488, 0.232031, 0.12691, 0.196148, 0.00228867, 0.49751, 0.69555, 0.716248, 0.0156102, 1
0.299984, 0.0698821, 0.588941, -0.00125367, 0.860596, 0.109539, 0.98931, -0.0109683, 0.072207, 0.444474, 0.781293, 0.219077, -0.00937944, 0.703109, 0.00390528, 0.254551, 0.597351, 0.627414, 0.131046, 0.415656, 0.243801, -0.00945536, 0.294315, 0.957955, 0.943814, 0.782822, 0.873447, 0.513837, 0.888884, -0.00288031, 0.00443123, 0.476332, 0.0613578, 0.991662, 0.000521432, 0.476208, 0.17772, 0.0352326, 0.00595034, 0.0262097, 0.462649, 0.160019, 0.011873, 0.933768, 0.928851, 0.0411313, -0.00648092, 0.977476, 0.37111, 0.752179, -0.0212727, 0.314941, -0.0136042, 0.425375, 0.217743, 0.0461523, 0.865931, 0.430506, 0.70435, 0.015274, 0.227494, 0.973657, 0.0121833, 0.340089, 0.685522, 0.0280328, 0.552447, 0.00766229, 0.259388, 0.322154, 0.943291, -0.00410961, 0.00613998, 0.348138, 0.668096, 0.116038, 0.5447, 0.626352, -0.00455586, 0.608577, 0.707326, 0.0893767, 0.0019075, 0.678378, -0.0163624, 0.414893, 0.395941, 0.115197, -0.000531597, 0.0746384, 0.903542, 0.42942, 0.0106868, 0.688109, 0.434508, 0.670091, 0.631865, 0.773073, 0.00085613, 0.28002, 32
0.465807, 0.764873, 0.927609, -0.00226737, 0.971817, 0.122037, 0.953182, -0.00914656, -0.00957845, 0.322551, 0.928656, 0.464352, 0.709229, 0.963892, 0.295274, 0.0764501, 0.716445, -0.0259403, 0.452733, -0.00106966, 0.453796, 0.812161, 0.690509, -0.0101782, 0.317862, 0.638131, 0.188798, 0.733849, 0.547865, -0.00412026, -0.00578005, 0.551348, 0.867299, 0.648595, 0.746191, 0.00234516, 0.390771, -0.0139037, 0.863262, 0.614557, 0.125314, -0.00129833, 0.118636, 0.0325011, -0.00178244, 0.00241548, 0.00597578, 0.0701148, 0.497601, 0.176262, -0.00493114, 0.0361266, 0.532526, 0.942807, 0.341746, 0.957054, -0.00712421, 0.249699, 0.450981, -0.00134208, 0.143191, 0.768318, -0.0162155, 0.525266, 0.577981, 0.0765442, 0.203533, 0.0992839, -0.0042213, 0.023697, 0.395617, 0.00987559, 0.361986, -0.0195666, 0.238589, 0.00191489, 0.723696, 0.884411, 0.780105, 0.00476523, 0.29312, 0.77784, 0.293543, 0.491974, -0.00183915, 0.0742362, 0.617054, 0.168375, 0.862942, 0.0148057, 0.0945518, 0.96191, 0.570807, 0.606997, 0.632507, -0.00424354, 0.481025, 0.956945, 0.668723, 0.00503749, 0
0.818654, 0.296742, 0.00746644, 0.78589, 0.278818, 0.497777, 0.00509324, 0.691978, 0.638798, 0.0258675, -0.00197918, 0.462297, 0.814207, 0.0111763, 0.971142, 0.939183, 0.772518, 0.407748, 0.189111, 0.936222, 0.0120444, 0.309212, 0.337486, 0.475464, 0.932099, 0.00273652, 0.0735054, 0.447136, 0.564908, -0.0053948, 0.486907, -0.0101672, 0.496039, 0.393109, 0.00584855, 0.0377153, 0.000126234, 0.533908, 0.472141, 0.00282281, 0.0882371, 0.965155, 0.877728, 0.0012577, 0.644636, 0.70032, 0.233311, -0.000952426, 0.928106, 0.28781, 0.127568, 0.013772, 0.353726, 0.0104744, 0.801029, 0.00286877, 0.811838, 0.791901, 0.677599, 0.60023, -0.00206267, 0.749217, 0.487001, 0.00334175, 0.763816, 0.124965, 0.496308, 0.00650258, 0.138351, 0.266222, 0.469197, 0.0113202, 0.571875, -0.0153044, -0.0142567, 0.761192, 0.38537, 0.393639, 0.192074, 0.227305, -0.00628995, 0.44215, 0.191422, 0.976603, 0.574275, 0.992915, 0.242252, 0.0218062, 0.805097, -0.000880641, 0.16508, 0.878715, 0.999319, 0.539604, 0.62042, 0.597438, 0.775896, -0.0157264, 0.39796, 0.437126, 16777216
0.489655, 0.773807, 0.394511, 0.884137, -0.00204053, 0.551244, 0.146272, -0.00422661, 0.804769, 0.216636, -0.0164706, 0.723559, 0.514692, -0.00214199, 0.0784175, 0.571581, 0.985946, 0.594703, 0.938389, -0.00523401, 0.449654, 0.954794, 0.261965, 0.709073, 0.819079, 0.00132242, 0.671301, 0.00651061, 0.848836, 0.205964, 0.278082, -0.000428104, 0.143948, 0.537177, -0.00256593, 0.52136, 0.000397015, 0.536244, 0.691955, -0.00815738, 0.731421, 0.0749412, -0.0239603, 0.197566, 0.145403, 0.174618, -0.0025941, 0.652541, 0.0166926, -0.0113189, 0.572891, 0.466085, 0.0011066, 0.190115, 0.291516, 0.192062, 0.555819, 0.57478, 0.553622, 0.0037494, 0.649291, 0.000469069, 0.056143, 0.019029, -0.0131082, 0.812522, 0.119, 0.432077, -0.00510341, -0.00717639, 0.894466, 0.374088, 0.00432173, 0.655178, 0.309218, 0.238062, 0.687737, 0.00677315, 0.664892, -0.0022095, 0.553079, 0.325145, 0.673094, 0.711193, 0.371425, 0.328604, -0.0129223, 0.136491, 0.553075, 0.00552249, 0.438052, 0.32579, 0.579024, 0.854716, 0.144373, 0.00292293, 0.0715712, 0.00756357, 0.59223, 0.346437, 0
0.338237, 0.0182648, 0.360294, 0.793899, 0.656313, 0.00869488, 0.145977, 0.575746, 0.872317, 0.738759, 0.673335, -0.0219436, 0.252341, 0.139099, 0.624831, -0.0109107, 0.518209, 0.671796, 0.947699, -0.014034, 0.277001, 0.403411, 0.984809, 0.476765, 0.0223063, 0.116998, 0.640605, 0.420999, 0.902011, -0.00445919, 0.00501933, 0.544015, 0.627746, 0.2342, -0.00462559, 0.588617, 0.0352297, 0.649075, 0.00891655, 0.0171761, 0.289348, 0.217189, -0.0182186, 0.293376, 0.574104, 0.116472, 0.12645, 0.256286, -0.0118752, 0.00378503, 0.25082, 0.843027, 0.416146, -0.00781222, 0.275709, 0.775266, 0.89765, 0.640532, 0.0067437, 0.249322, 0.104271, 0.247352, 0.765113, -0.0118575, 0.114389, 0.710489, 0.134957, 0.244122, -0.000620585, 0.977282, 0.326956, 0.0147636, -0.0127406, 0.142419, 0.328716, 0.583988, 0.0337311, 0.172751, 0.0114672, 0.00124473, 0.41743, 0.462626, 0.857813, 0.798325, 0.326342, 0.360151, 0.500124, -0.00229467, 0.00207762, 0.225715, 0.121162, 0.584826, 0.429286, 0.648691, 0.465729, -0.010794, 0.00766537, 0.323655, 0.779571, 0.26902, 0
0.583154, 0.00128647, 0.740844, 0.520529, 0.638521, 0.348254, -0.0190347, 0.765159, 0.888482, -0.0102608, 0.57343, 0.709716, 0.476452, 0.97275, 0.00475001, 0.728713, 0.153012, 0.175037, 0.251002, -0.0022843, 0.633576, 0.236874, 0.850912, 0.892931, 0.998836, -0.0220128, 0.816425, 0.347303, 0.403379, -0.00355067, -0.000351011, 0.242318, 0.276463, 0.116634, 0.139573, -0.0275145, 0.00529732, 0.703248, 0.62829, 0.0220852, 0.789945, 0.700814, 0.892246, 0.0273411, 0.00232289, 0.725509, 0.00169719, 0.435503, 0.074429, -0.00793361, 0.166806, 0.261482, 0.570479, 0.26649, 0.072793, -0.00362867, 0.17772, 0.870776, 0.674636, -0.0218276, 0.449709, 0.438194, 0.072863, 0.000687511, 0.531247, 0.0469971, 0.877063, 0.00132231, 0.202328, 0.00590485, 0.186835, 0.46281, 0.885431, -0.000214172, 0.00498035, 0.227868, 0.0025442, 0.147854, 0.485164, 0.699872, 0.789064, 0.0106309, 0.377594, 0.886066, 0.736602, 0.561906, 0.144981, 0.0177018, -0.0116281, 0.722122, 0.556612, 0.511419, -0.00329179, 0.686128, 0.837005, 0.0800922, 0.0521871, 0.979075, -0.00699896, 0.458727, 0
0.00716548, 0.800104, 0.677481, 0.782134, 0.347308, 0.911292, -0.00630057, 0.460996, 0.491633, 0.000400541, 0.971333, 0.559383, 0.868292, 0.145673, 0.811276, 0.901796, 0.648143, 0.0142924, 0.41689, -0.0128626, 0.52196, 0.258549, 0.00334293, 0.359281, -0.0120683, 0.306961, 0.129421, 0.292457, 0.00300169, 0.037328, 0.727516, -0.00269266, 0.572354, 0.625006, 0.0076175, 0.527542, 0.945552, 0.00433256, 0.777876, 0.198253, -0.00417353, 0.461937, 0.165195, -0.0151613, 0.672469, 0.0701956, 0.00531294, 0.564187, 0.986647, 0.629595, 0.0143313, 0.779366, -0.0216637, 0.479813, 0.537865, 0.595762, 0.886676, 0.882641, -0.0110504, 0.160916, 0.769711, 0.886974, 0.681401, -0.0119323, 0.83171, 0.841619, 0.747722, 0.895025, 0.0103723, 0.00420609, 0.701932, 0.241721, 0.798368, 0.000436661, 0.965959, 0.675328, 0.096457, 0.980566, -0.000726511, 0.768253, 0.0122222, 0.783596, 0.830428, 0.746304, 0.387739, 0.911305, -0.000503131, 0.901291, 0.885051, -0.0127066, 0.0941439, 0.91804, 0.0156322, 0.483766, 0.660619, 0.0399786, 0.663801, 0.106951, -0.000468345, 0.752084, 0
