@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute var_0020 real
@attribute var_0021 real
@attribute var_0022 real
@attribute var_0023 real
@attribute var_0024 real
@attribute var_0025 real
@attribute var_0026 real
@attribute var_0027 real
@attribute var_0028 real
@attribute var_0029 real
@attribute var_0030 real
@attribute var_0031 real
@attribute var_0032 real
@attribute var_0033 real
@attribute var_0034 real
@attribute var_0035 real
@attribute var_0036 real
@attribute var_0037 real
@attribute var_0038 real
@attribute var_0039 real
@attribute var_0040 real
@attribute var_0041 real
@attribute var_0042 real
@attribute var_0043 real
@attribute var_0044 real
@attribute var_0045 real
@attribute var_0046 real
@attribute var_0047 real
@attribute var_0048 real
@attribute var_0049 real
@attribute var_0050 real
@attribute var_0051 real
@attribute var_0052 real
@attribute var_0053 real
@attribute var_0054 real
@attribute var_0055 real
@attribute var_0056 real
@attribute var_0057 real
@attribute var_0058 real
@attribute var_0059 real
@attribute var_0060 real
@attribute var_0061 real
@attribute var_0062 real
@attribute var_0063 real
@attribute var_0064 real
@attribute var_0065 real
@attribute var_0066 real
@attribute var_0067 real
@attribute var_0068 real
@attribute var_0069 real
@attribute var_0070 real
@attribute var_0071 real
@attribute var_0072 real
@attribute var_0073 real
@attribute var_0074 real
@attribute var_0075 real
@attribute var_0076 real
@attribute var_0077 real
@attribute var_0078 real
@attribute var_0079 real
@attribute var_0080 real
@attribute var_0081 real
@attribute var_0082 real
@attribute var_0083 real
@attribute var_0084 real
@attribute var_0085 real
@attribute var_0086 real
@attribute var_0087 real
@attribute var_0088 real
@attribute var_0089 real
@attribute var_0090 real
@attribute var_0091 real
@attribute var_0092 real
@attribute var_0093 real
@attribute var_0094 real
@attribute var_0095 real
@attribute var_0096 real
@attribute var_0097 real
@attribute var_0098 real
@attribute var_0099 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 384, 512, 1024, 2048, 4096, 8192, 16384, 16386, 16896, 32768, 65536, 131072, 131136, 262144, 524288, 1048576, 2097152, 2097216, 4194304, 8388608, 16777216, 20971520, 33554432, 33554560, 67108864, 67108992, 75497472, 134217728, 268435456, 536870912, 536871040, 536872960, 1073741824}

@data
0.16563, -0.0171785, 0.704325, 0.389235, 0.0394907, 0.000571524, 0.390324, -0.0152315, 0.400209, 0.697976, 0.444136, 0.695458, 0.00801097, 0.934964, 0.553531, 0.392938, 0.220715, 0.00332109, 0.0010179, 0.31942, 0.863119, 0.935022, -0.0237478, 0.637384, 0.0103139, 0.343954, 0.319379, 0.0371494, 0.660409, 0.00893135, 0.700077, 0.66424, 0.000355558, 0.168314, 0.386688, 0.751555, 0.00224474, 0.013304, 0.846417, 0.148533, -3.8827e-05, -0.0143997, 0.165714, 0.926446, 0.376343, -0.00740671, 0.323292, 0.79709, 0.0160991, 0.181365, 0.716726, -0.00582348, 0.288418, 0.548083, 0.303505, 0.00130334, 0.274402, 0.00673728, 0.0282148, 0.893369, 0.154508, 0.164239, -0.013587, 0.900875, 0.149896, 0.0686784, -0.00407794, 0.0759362, 0.835409, 0.579711, -0.000531341, 0.277235, 0.378985, 0.00623371, 0.978682, 0.533146, 0.731947, -0.0055579, -0.0158579, 0.596339, 0.971129, 0.00354798, -0.0100775, 0.534118, 0.724032, 0.471785, 0.00671063, 0.290107, 0.144647, 0.611969, 0.224492, 0.00815223, 0.709476, 0.498685, 0.472155, -0.0145949, 0.468978, 0.746026, 0.280059, 0.00685548, 0
0.0087987, 0.644542, 0.888113, 0.00891915, 0.00418509, 0.901098, 0.358274, 0.00355031, 0.704262, 0.0172288, 0.360245, -0.0156912, 0.962819, 0.952713, 0.286367, 0.0815276, 0.0162947, 0.211264, 0.00559829, 0.625547, 0.161485, 0.00730475, 0.578469, 0.00252056, 0.0850584, 0.0767847, 0.00613971, 0.3282, 0.784103, 0.330416, 0.370487, 0.427164, 6.84891e-05, 0.180031, 0.159416, 0.0164474, 0.501347, 0.62266, 0.0076428, 0.00634732, 0.413717, 0.173423, 0.334628, 0.0112631, 0.52291, 0.00137149, 0.700786, 0.91055, 0.790438, -0.010516, 0.338587, -0.0109956, 0.414088, 0.0168702, 0.00118894, 0.971675, 0.411008, 0.990108, 0.565, 0.00542283, 0.293927, 0.0266017, 0.219965, 0.0151473, 0.0628871, 0.472407, 0.536604, -0.0018891, 0.00348718, 0.227645, 0.919707, 0.0288236, 0.853049, 0.0117681, 0.249742, 0.0290924, 0.139053, 0.681131, 0.65801, 0.00428391, 0.011456, 0.549402, -0.00262855, 0.411044, 0.904377, 0.76266, 0.00193574, 0.682004, 0.879887, 0.713974, 0.275515, 0.246874, 0.00988537, 0.00739012, 0.25744, 0.109737, 0.0131674, 0.0957639, -0.00134042, 0.980503, 0
0.913335, 0.000324879, 0.0438713, 0.846021, 0.953141, 0.191122, 0.919266, 0.000224993, 0.718839, 0.871394, 0.270542, 0.0075367, 0.495407, 0.251537, -0.00306727, 0.81478, 0.742387, 0.716699, 0.0083896, 0.881873, -0.000670308, 0.00651487, 0.680639, 0.50158, 0.939356, 0.866775, 0.00951509, 0.717884, 0.411124, 0.469365, 0.933599, 0.63704, 0.894638, 0.675468, -0.00487805, -0.00653841, 0.369141, 0.014241, 0.610845, 0.459673, 0.00408554, 0.921722, 0.249524, 0.00720013, 0.0123598, 0.072217, 0.21699, -0.0175952, 0.0291815, 0.312613, 0.116272, 0.252818, 0.00749674, 0.625189, 0.40059, 0.00933336, 0.956783, 0.451577, 0.0490563, 0.000556387, 0.00708921, 0.919973, 0.883703, 0.392977, 0.0107528, 0.624081, 0.590853, -0.0125438, 0.692886, 0.00971539, 0.468308, 0.866457, -0.00135414, 0.3895, 0.776756, 0.72442, 0.85119, 0.0134653, 0.0143934, 0.856869, -0.00233207, 0.626883, 0.714741, 0.661565, 0.00774097, 0.141054, 0.585262, -0.00428929, 0.318403, 0.969606, 0.88761, 0.549816, 0.726316, 0.00505961, 0.00945629, -0.00456157, 0.782648, 0.617395, 0.818391, -0.0267079, 128
0.447355, 0.00411981, 0.274206, 0.667823, 0.733278, -0.00514696, 0.640836, 0.132902, 0.175337, 0.89108, -0.0214508, 0.978106, 0.00419422, 0.0120088, 0.592529, 0.667613, 0.415613, 0.922148, 0.429753, 0.932778, -0.00745441, 0.306485, -0.012136, 0.593881, 0.016749, 0.424826, 0.00639125, 0.188076, 0.695848, 0.853759, 0.756138, 0.797224, 0.454674, 0.352788, -0.0113576, -0.00472357, 0.739585, 0.23225, -0.0146306, -0.00338484, 0.700264, 0.386999, 0.213952, -0.000893992, 0.00489994, 0.649158, -0.00338537, 0.684515, 0.0423969, 0.615915, 0.0853915, -0.000375775, 0.978881, 0.600734, 0.660196, -0.000267812, 0.782132, 0.623192, 0.690695, 0.603469, 0.751606, 0.366536, 0.890534, 0.829079, 0.868803, -0.000289528, 0.00383352, 0.0435745, 0.0713364, 5.9013e-05, 0.21897, 0.416387, 0.393208, -0.000691086, -0.00412993, 0.444931, 0.154533, 0.917386, 0.742833, 0.00182425, 0.434718, 0.0147282, -0.0168624, 0.952031, 0.404271, 0.16175, 0.0481451, 0.762279, 0.422391, 0.347629, 0.00223132, 0.379304, 0.0126157, 0.413161, 0.0376686, 0.099426, 0.0101909, 0.476115, -0.00895268, 0.146303, 262144
0.127013, -0.00329844, 0.0105785, 0.817097, 0.801611, 0.362437, 0.384619, 0.4738, 0.0657948, 0.246882, -0.00368184, 0.733398, -0.00266976, 0.60258, 0.0997978, 0.173322, -0.0037419, 0.782724, 0.679214, -0.000149683, 0.310453, 0.228697, 0.00426336, 0.0118544, 0.875865, 0.329521, 0.00663792, 0.464595, 0.563114, 0.92085, -0.00988193, 0.341073, 0.0459282, 0.873895, 0.183395, 0.00186876, 0.759226, 0.360913, 0.000549575, 0.436991, 0.00592908, 0.00990954, 0.863242, 0.858464, 0.382249, 0.00404148, 0.69278, -0.0177079, 0.698111, 0.183913, -0.00971495, 0.0835623, 0.708796, 0.00942664, 0.368808, 0.804736, -0.00994975, -0.0186745, 0.122328, 0.905797, 0.0100827, 0.64654, 0.764372, 0.784413, -0.0156086, 0.71222, 0.358126, 0.0043595, 0.834992, 0.759166, -0.00987979, 0.729002, 0.0291668, 0.0160207, 0.569024, 0.00679286, 0.505497, 0.419541, 0.898039, 0.0152629, 0.0546544, -0.0126453, 0.54888, 0.196005, 0.000955913, 0.754072, 0.731863, 0.0185653, 0.719713, 0.500189, 0.141311, 0.747648, -0.015666, 0.131942, 0.627497, -0.0112421, 0.868467, 0.0147991, 0.112562, 0.42126, 0
-0.00913279, 0.663586, 0.517944, 0.300683, 0.458988, 0.0117311, 0.00502209, 0.951143, 0.721116, 0.720711, 0.0623381, 0.469962, 0.0133615, 0.91478, 0.120163, 0.213278, -0.0130286, 0.797971, 0.599076, 0.0103821, 0.0117261, 0.481244, 0.00185633, 0.649872, 0.866322, -0.0130198, -0.00805994, 0.915432, 0.679983, 0.438987, 0.980699, -0.00966427, 0.0397564, 0.293501, 0.480919, 0.0135507, 0.46891, -0.00332062, 0.0375318, 0.00629982, 0.250348, -0.00946649, 0.107317, 0.548631, 0.730732, -0.0119583, 0.2558, 0.252272, -0.00713623, 0.201612, -0.00496648, 0.0787901, 0.359904, 0.970039, -0.0135572, 0.765828, 0.482125, 0.94013, 0.808868, 0.00021621, 0.235146, -0.00656898, 0.668922, 0.787244, 0.933377, 0.841161, 0.0147918, 0.938187, 0.436125, 0.479696, 0.00166569, 0.50894, 0.218447, 0.00334495, 0.8817, -0.00196301, 0.0592282, 0.796844, 0.00551003, 0.0705656, -0.0174897, 0.657053, 0.972638, 0.68782, -0.00269393, 0.813377, 0.0640021, 0.526428, 0.161755, 0.036438, 0.00649005, 0.771873, 0.00794534, 0.943294, 0.373605, -0.00396927, 0.000458825, 0.871277, 0.00176245, 0.626765, 0
0.556911, -0.0137633, 0.358177, 0.0159699, 0.736428, 0.793947, 0.920149, 0.467833, 0.0111231, 0.331635, 0.934724, 0.190942, -2.98885e-05, 0.22402, 0.752073, 0.00352251, 0.607482, 0.660209, 0.789418, 0.660573, -0.00807643, 0.247277, -0.0170368, 0.582739, 0.270552, -0.0080616, 0.183811, -0.00625865, 0.925777, 0.996568, 0.77806, -0.00585272, 0.259823, 0.472098, 0.514053, 0.00496441, 0.380825, 0.295196, 0.0105644, -0.00742556, 0.943417, 0.80239, 0.00720013, 0.794404, 0.0133756, 0.752523, 0.2513, 0.157981, 0.00139975, 0.741001, 0.0102752, 0.827804, 0.784279, 0.644345, 0.551995, 0.808033, -0.0133463, 0.00479919, 0.516282, 0.210702, 0.673772, 0.739792, 0.902034, 0.26202, 0.0755287, -0.00430936, 0.391527, -0.00171777, 0.00961256, 0.975164, -0.00914731, 0.259123, 0.668823, 0.000471576, 0.393726, 0.289779, 0.820466, -0.00948883, 0.0122389, 0.117654, -0.00876358, 0.440085, 0.0915841, 0.306114, 0.00665502, 0.89036, 0.1647, 0.842694, 0.140953, 0.000655354, 0.0140813, 0.848164, 0.464949, 0.0141147, 0.366961, 0.0108175, 0.513749, 0.978575, 0.00172904, 0.00338075, 0
0.663009, -0.00614325, 0.582144, 0.649916, -0.00542554, 0.698015, 0.344129, 0.00821378, 0.110273, 0.128488, 0.514268, 0.00335089, 0.714762, 0.421491, 0.238848, 0.235207, 0.132996, -0.0155396, 0.522203, 0.00138802, 0.94947, 0.000885376, 0.728621, 0.971582, 0.432587, 0.0289386, 0.29219, -0.0156507, 0.346655, 0.380673, 0.00472603, 0.524139, 0.762411, 0.953332, 0.226086, -0.00116142, 0.902127, 0.903945, 0.00174237, 0.00255466, 0.847898, 0.830855, -0.00492293, 0.380589, 0.202999, -0.0125946, 0.455444, 0.619646, 0.958447, 0.00908518, 0.713664, 0.0443807, 0.312909, -0.00212511, 0.766729, 0.00994985, 0.4142, -0.0169856, 0.0681979, 0.0154684, 0.253869, 0.808673, -0.014788, 0.185422, 0.807611, 0.418007, 0.725453, 0.00888878, 0.339047, 0.840119, -0.00661876, 0.284563, 0.855604, -0.0146246, -0.00687563, 0.723553, 0.279424, 0.0665736, 0.459028, 0.0154411, 0.00993208, 0.316515, 0.243305, 0.180433, 0.95311, 0.0105744, -0.00909755, 0.527581, 0.0420419, 0.448977, 0.668596, -0.013541, 0.16481, 0.517128, 0.990948, 0.00968479, 0.531684, 0.665207, 0.00982125, 0.547045, 0
0.548008, -0.00537781, 0.293805, 0.854882, 0.220125, 0.00523752, 0.49411, 0.00919309, 0.120758, 0.0767567, 0.345107, 0.00276964, 0.65102, 0.995503, 0.0129989, 0.838952, 0.63871, 0.51682, -0.0113761, 0.823644, 0.799836, -0.0118517, 0.60195, 0.0120515, 0.440006, 0.851846, 0.678267, 0.388008, 0.83536, -0.0142908, 0.423386, 0.607576, 0.039195, 0.186269, -0.0357755, 0.051948, 0.0287608, -0.0230369, 0.920261, 0.385949, 0.0109172, 0.889958, 0.00251612, 0.450435, -0.000399232, 0.935451, -0.00119989, 0.66146, 0.551168, 0.344117, 0.0151985, 0.577148, 0.167906, 0.307861, 0.46393, 0.00473485, 0.309185, 0.877986, 0.266432, 0.0305366, 0.000777446, 0.339692, 0.507228, 0.368202, 0.0192996, 0.967901, 0.322561, 0.00553856, -0.00307573, 0.240768, 0.898463, 0.30737, 0.0137504, 0.542469, 0.504857, 0.397446, -0.00343867, 0.806144, 0.0150793, -0.0121666, 0.162897, 0.0127411, 0.55482, 0.769278, 0.374319, 0.00308296, 0.438113, 0.0122199, 0.0754193, 0.00977847, 0.191944, 0.54283, 0.811589, -0.000470539, 0.614745, 0.658181, -0.0121426, -0.0147679, 0.203459, 0.0388634, 0
0.172413, 0.0103169, 0.156336, 0.803153, 0.956665, 0.00493186, 0.724634, 0.0193766, 0.904704, 0.225276, 0.82144, 0.00732023, 0.397872, 0.913908, 0.0102971, 0.368058, 0.534751, 0.719484, 0.0761893, -0.000269104, 0.800533, 0.551156, 0.00392416, 0.00861924, 0.590064, 0.733444, 0.659303, 0.0106229, 0.375854, 0.266314, 0.320919, 0.603287, 0.00125759, 0.645051, 0.277202, 0.88331, 0.750143, 0.338431, 0.0177554, 0.473273, -0.00365393, 0.696931, 0.0164984, 0.152489, 0.478413, -0.0176384, 0.0629756, 0.292044, 0.219613, -0.00497276, 0.235799, 0.519783, -0.00735352, 0.190359, 0.315472, 0.728818, -0.0142326, 0.00706407, 0.444507, 0.250977, 0.220476, 0.00641798, 0.287909, 0.283406, 0.45976, 0.627847, 0.00482306, 0.699602, 0.55576, 0.675613, 0.475726, -0.00505848, 0.00420384, 0.222356, -0.00864547, 0.95579, 0.468998, 0.731417, -0.0141622, 0.674818, 0.335993, 0.00796752, -0.00221284, 0.307327, 0.766495, 0.104121, 0.158742, 0.246168, 0.00456477, 0.364748, 0.290114, 0.00841515, 0.301898, 0.220157, 0.430392, 0.320833, -0.0029863, -0.00835149, 0.990589, 0.262824, 1024
