StartTime,EndTime,AvgRate,total
2018/01/01 00:00:00,2018/01/01 02:00:00,306.23Mbps,275605455598
2018/01/01 02:00:00,2018/01/01 04:00:00,285.03Mbps,256527692256
2018/01/01 04:00:00,2018/01/01 06:00:00,247.39Mbps,222652190823
2018/01/01 06:00:00,2018/01/01 08:00:00,211.55Mbps,190396029658
2018/01/01 08:00:00,2018/01/01 10:00:00,234.82Mbps,211340468977
2018/01/01 10:00:00,2018/01/01 12:00:00,251.52Mbps,226368217318
2018/01/01 12:00:00,2018/01/01 14:00:00,337.89Mbps,304102364117
2018/01/01 14:00:00,2018/01/01 16:00:00,390.16Mbps,351140998642
2018/01/01 16:00:00,2018/01/01 18:00:00,389.52Mbps,350568278061
2018/01/01 18:00:00,2018/01/01 20:00:00,334.19Mbps,300769098739
2018/01/01 20:00:00,2018/01/01 22:00:00,349.82Mbps,314841474882
2018/01/01 22:00:00,2018/01/02 00:00:00,364.52Mbps,328068665590
2018/01/02 00:00:00,2018/01/02 02:00:00,322.87Mbps,290580265868
2018/01/02 02:00:00,2018/01/02 04:00:00,321.11Mbps,289002924895
2018/01/02 04:00:00,2018/01/02 06:00:00,228.28Mbps,205451909482
2018/01/02 06:00:00,2018/01/02 08:00:00,230.68Mbps,207611505344
2018/01/02 08:00:00,2018/01/02 10:00:00,239.87Mbps,215884662590
2018/01/02 10:00:00,2018/01/02 12:00:00,269.02Mbps,242117761270
2018/01/02 12:00:00,2018/01/02 14:00:00,288.34Mbps,259510269204
2018/01/02 14:00:00,2018/01/02 16:00:00,328.89Mbps,295998840578
2018/01/02 16:00:00,2018/01/02 18:00:00,341.96Mbps,307761950973
2018/01/02 18:00:00,2018/01/02 20:00:00,336.75Mbps,303074357521
2018/01/02 20:00:00,2018/01/02 22:00:00,343.27Mbps,308945399023
2018/01/02 22:00:00,2018/01/03 00:00:00,448.18Mbps,403363388906
2018/01/03 00:00:00,2018/01/03 02:00:00,388.77Mbps,349889915377
2018/01/03 02:00:00,2018/01/03 04:00:00,282.24Mbps,254015271252
2018/01/03 04:00:00,2018/01/03 06:00:00,250.58Mbps,225522631377
2018/01/03 06:00:00,2018/01/03 08:00:00,218.87Mbps,196986885937
2018/01/03 08:00:00,2018/01/03 10:00:00,245.66Mbps,221096292829
2018/01/03 10:00:00,2018/01/03 12:00:00,315.55Mbps,283991665854
2018/01/03 12:00:00,2018/01/03 14:00:00,333.89Mbps,300502482901
2018/01/03 14:00:00,2018/01/03 16:00:00,382.81Mbps,344528241503
2018/01/03 16:00:00,2018/01/03 18:00:00,383.20Mbps,344882677506
2018/01/03 18:00:00,2018/01/03 20:00:00,377.06Mbps,339353775631
2018/01/03 20:00:00,2018/01/03 22:00:00,390.13Mbps,351114695178
2018/01/03 22:00:00,2018/01/04 00:00:00,388.14Mbps,349325389405
2018/01/04 00:00:00,2018/01/04 02:00:00,363.50Mbps,327148167875
2018/01/04 02:00:00,2018/01/04 04:00:00,288.50Mbps,259647733811
2018/01/04 04:00:00,2018/01/04 06:00:00,236.18Mbps,212560276279
2018/01/04 06:00:00,2018/01/04 08:00:00,242.21Mbps,217990417844
